login; location; followers; contributions; stars; language
mmoreram;Barcelona, Spain;93;6556;309;PHP
jotegui;Pamplona, Spain;3;5082;8;Python
gavinking;Barcelona, Spain;117;4332;6;Ceylon
JJ;Granada, Spain, Europe;152;4279;237;Perl
sanacl;Madrid;7;4169;1;CSS and Python
pepellou;Santiago de Compostela;33;3883;;PHP
niwibe;Madrid, Spain;241;3878;2006;Python
javierarce;Madrid;58;3746;133;JavaScript
sortega;Madrid, Spain;30;3246;58;Java
alexgallardo;Madrid;4;3108;0;
stringparser;Granada, Spain;35;2935;23;JavaScript
mdtrooper;España;8;2916;6;Python
opalenzuela;Barcelona;15;2852;58;Shell
zyga;Spain;27;2340;173;Python
gradha;Spain;21;2329;212;Objective-C
alejandrodob;Madrid, Spain;14;2279;0;JavaScript
ealonso;Madrid;5;2275;4;Java
shoghicp;Zaragoza;147;2245;187;PHP
acs;Getafe, Madrid, Spain;8;2211;9;JavaScript
javisantana;Madrid - Valladolid;128;2200;119;JavaScript
teleyinex;Madrid, Spain;43;2078;37;JavaScript
adolfopa;Madrid;7;2026;13;Shell
sergiogonzalez;Madrid;24;1963;16;Java
Kikobeats;Murcia, Spain;75;1912;201;JavaScript
agordillo;Madrid;11;1887;0;JavaScript
jcaden;Madrid;7;1880;4;C
jmnavarro;Madrid;14;1860;22;Objective-C
KonradIT;Madrid;76;1852;364;Python
javilonas;Sevilla (España);13;1821;16;Shell
alch;Barcelona;16;1813;0;PHP
carloslozano;Sant Cugat del Vallès, Barcelona, Catalonia;13;1788;1;Swift
aguslr;Spain;2;1731;3;Ruby
kzangeli;Spain;1;1729;0;
soyjavi;Bilbao ✈︎ Chiang Mai;726;1711;803;CoffeeScript
Kartones;Madrid, Spain;24;1676;3;Ruby
fgalan;Madrid, Spain;7;1645;2;Shell
matallo;Madrid, ES;26;1627;5;JavaScript
juliocamarero;Madrid;49;1615;43;JavaScript
zuazo;Spain;6;1579;0;
davidromani;Spain;16;1579;0;PHP
dmoranj;Madrid (Spain);12;1553;21;JavaScript
belaustegui;Asturias, Spain;9;1527;0;Ruby
Obijuan;Madrid (Spain);107;1524;140;Python
pakozm;Alfara del Patriarca (Valencia), Spain;28;1522;109;Lua
connollyst;Barcelona, Spain;1;1501;9;Java
M42;Granada, Spain;39;1489;28;TeX
pedrovgs;Madrid;416;1484;1425;Java
neo22s;Barcelona;19;1457;9;PHP
amatriain;Pamplona;1;1429;11;Ruby
erral;Eibar, Gipuzkoa;7;1424;16;Python
olmobrutall;Madrid (Spain);2;1409;0;C#
mdelapenya;Madrid o Toledo (Spain);10;1398;16;Java
crguezl;La Laguna. Tenerife;96;1393;64;Ruby
deivid-rodriguez;Madrid;30;1372;488;Ruby
vmayoral;Spain;65;1360;41;Python
bameda;Madrid, Jaén, Spain, España;52;1351;5;Python
turran;Spain;2;1342;9;Shell
pditommaso;Barcelona, Spain;21;1320;23;Groovy
rchavarria;Spain;6;1313;22;JavaScript
jespino;Madrid, Spain;87;1309;148;Python
sneridagh;Barcelona;14;1298;39;Python
pedrobaeza;Spain;45;1284;0;Python
migue;Madrid;32;1279;61;Java
pleonex;Granada, Spain;21;1277;31;C#
aplanas;Málaga, Spain;3;1276;1;Ruby
acelaya;Zaragoza;33;1241;41;PHP
quintesse;Madrid, Spain;11;1224;6;Java
christkv;Barcelona, Spain;250;1204;776;JavaScript
xphere;Barcelona, Spain;29;1194;7;PHP
jlblancoc;Almeria (Spain);27;1188;172;C++
DaniGuardiola;Spain;4;1171;6;JavaScript
fdavidcl;Granada, Spain;32;1169;17;JavaScript
epgarcia;Madrid;9;1168;7;Java
