users;followers;contributions;stars;commitdate
1155;6371;94537;10124;2015-05-04 19:24:05 +0200
1162;6484;94013;10271;2015-05-11 07:55:34 +0200
1190;6619;97275;10644;2015-05-21 08:11:33 +0200
1205;6669;97480;10730;2015-05-25 07:54:16 +0200
1233;6724;98476;10947;2015-06-01 07:54:15 +0200
1235;6821;100234;11254;2015-06-09 17:45:31 +0200
1248;6852;101091;11394;2015-06-15 07:55:46 +0200
1246;6961;103616;11510;2015-06-22 07:55:49 +0200
1261;7128;104832;12560;2015-06-29 07:55:57 +0200
1263;7184;103715;12974;2015-07-06 07:56:01 +0200
1269;7224;105902;13152;2015-07-15 18:35:18 +0200
1257;7301;105906;13269;2015-07-20 07:56:13 +0200
1260;7401;107688;13499;2015-07-27 07:53:23 +0200
1259;7438;109057;13743;2015-08-15 20:22:44 +0200
1240;7621;111350;13879;2015-08-17 08:32:22 +0200
1280;7682;112850;14084;2015-08-26 12:45:01 +0200
1255;7691;110776;14197;2015-08-31 07:58:07 +0200
1294;7718;113205;13982;2015-09-07 07:53:55 +0200
1319;7789;113796;14196;2015-09-14 08:00:48 +0200
1342;7982;115867;14314;2015-09-21 07:54:21 +0200
1365;8171;117985;14555;2015-09-28 07:54:19 +0200
1386;8258;119280;14706;2015-10-05 07:54:35 +0200
1444;8500;121752;14939;2015-10-16 07:27:23 +0200
1448;8621;122761;15036;2015-10-19 07:56:31 +0200
1437;8694;122050;15130;2015-10-21 13:56:19 +0200
1461;8813;124220;15255;2015-10-26 07:56:05 +0100
1490;9078;127979;15497;2015-11-02 10:46:53 +0100
1525;9263;129803;15792;2015-11-09 07:55:30 +0100
1535;9452;131901;15242;2015-11-16 07:55:33 +0100
1522;9568;133579;15509;2015-11-23 07:55:37 +0100
1538;9638;135323;15652;2015-11-30 07:55:36 +0100
1572;9795;135292;15898;2015-12-07 09:11:45 +0100
1574;9861;139339;16008;2015-12-14 07:56:24 +0100
1571;9885;139389;16043;2015-12-21 07:51:45 +0100
1578;9976;139445;17068;2016-01-03 20:27:34 +0100
1576;10205;141910;16671;2016-01-13 18:10:53 +0100
1594;10340;143678;16807;2016-01-18 07:56:25 +0100
1594;10463;143807;16994;2016-01-25 07:57:18 +0100
1674;10540;150574;15665;2016-02-04 17:58:18 +0100
1676;10701;155378;15701;2016-02-15 17:42:31 +0100
1681;10886;156872;16279;2016-02-21 12:54:00 +0100
1645;10952;157335;16270;2016-02-29 08:49:45 +0100
1663;11203;159117;16518;2016-03-06 08:58:53 +0100
1687;11220;159756;16555;2016-03-07 08:00:36 +0100
1692;11335;159595;16889;2016-03-14 08:05:18 +0100
1692;11541;158493;17528;2016-03-27 13:20:12 +0200
1699;11744;159657;17677;2016-04-04 07:45:53 +0200
1704;11819;160921;17740;2016-04-08 08:45:20 +0200
1689;11879;161400;17758;2016-04-10 15:39:00 +0200
1721;12014;163158;18179;2016-04-18 07:44:22 +0200
1756;12164;165284;19304;2016-04-25 07:56:17 +0200
1764;12289;165209;19551;2016-05-02 08:57:50 +0200
