login; location; place; followers; contributions; stars; user_stars; language
JJ;Granada, Spain, Europe;Granada;192;4338;290;124;Perl
stringparser;Granada, Spain;Granada;43;4271;30;90;JavaScript
javilonas;Sevilla, Andalucía,  (España);Andalucía;15;1681;21;0;Shell
bameda;Madrid, Jaén, Spain, España;Jaén;56;1544;6;127;Python
pleonex;Granada, Spain;Granada;23;1492;35;67;C#
Neniah;Huelva, Spain;Huelva;1;1208;0;7;CSS
aplanas;Málaga, Spain;Málaga;3;1064;2;27;Ruby
josedom24;Utrera, Sevilla;Sevilla;18;1026;3;1;Python
M42;Granada, Spain;Granada;47;1006;30;58;C++
javacasm;Granada, Jaén (Spain);Granada;8;1003;5;46;Arduino
jlblancoc;Almeria (Spain);Almería;36;987;197;70;C++
skarbat;Malaga, Spain;Málaga;1;984;0;2;C++
eparejatobes;Granada, Spain;Granada;25;959;2;441;JavaScript
pablopareja;Granada, Spain;Granada;28;951;47;55;Java
Deathsbreed;Seville, Spain;Sevilla;2;937;4;28;Java
iblancasa;Granada, Andalucía, Spain;Andalucía;20;933;30;64;JavaScript
demiurgosoft;Granada,Spain;Granada;25;877;8;5;Shell
vterron;Granada, Spain;Granada;75;816;57;44;Python
josejuansanchez;Almería;Almería;20;807;58;83;JavaScript
antonio;Huelva, Spain;Huelva;92;762;20;123;Ruby
leliel12;Cordoba;Córdoba;4;754;2;8;Python
fdavidcl;Granada, Spain;Granada;38;725;30;140;Makefile
ivanortegaalba;Granada, Jaén, Spain;Granada;20;672;4;15;Shell
fcharte;Jaén, Granada, Spain;Granada;11;584;14;7;R
PabloCastellano;Málaga, Spain;Málaga;33;555;42;170;Python
trishagee;Sevilla, Spain;Sevilla;154;551;95;9;Groovy
jdesiloniz;Cádiz, Spain;Cádiz;4;542;0;1;Swift
yosymfony;Granada, Spain;Granada;19;538;39;161;PHP
juanAFernandez;Granada;Granada;17;533;0;22;Shell
laughedelic;Spain, Granada;Granada;39;519;101;578;Scala
ernestoalejo;Granada, Spain;Granada;11;505;71;149;JavaScript
pitbulk;Seville;Sevilla;23;500;25;110;PHP
srus;Seville, Spain;Sevilla;12;495;8;282;JavaScript
kalta;Málaga, Spain;Málaga;25;493;197;37;Erlang
lrlopez;Linares (Jaén);Jaén;13;491;4;176;PHP
javipacheco;Cádiz, Spain;Cádiz;123;490;92;143;Java
bladecoder;Córdoba, Spain;Córdoba;3;487;30;0;Shell
danigb;seville, spain;Sevilla;14;482;64;231;JavaScript
Virako;Sevilla;Sevilla;23;477;10;5;Python
julioxus;Granada, Spain;Granada;9;475;7;2;Shell
luisromangz;Seville, Spain;Sevilla;2;458;0;6;JavaScript
jesusbriales;Malaga;Málaga;1;451;0;1;Matlab
antorof;Granada, Spain;Granada;4;449;4;14;Java
potray;Granada, Spain;Granada;4;448;0;0;JavaScript
JAFS6;Granada, Spain;Granada;1;444;0;0;C# and TeX
alasarr;Sevilla;Sevilla;6;435;0;16;
andreshp;Granada, Spain;Granada;32;427;11;27;Python
fergunet;Granada;Granada;48;418;12;7;Java
agarciamontoro;Granada, Andalucía, Spain;Andalucía;26;417;6;51;Shell
unintendedbear;Granada, Spain;Granada;12;413;1;6;Perl
algui91;Granada, España;Granada;73;406;15;54;Shell
goinnn;Seville, Spain;Sevilla;40;397;313;180;Python
moiarcsan;Sevilla;Sevilla;10;396;2;7;JavaScript
andres-gnlez;Málaga / Madrid;Málaga;0;378;0;2;JavaScript
pabarcgar;Seville, Spain;Sevilla;0;375;1;3;Java
acanas;Granada, Spain;Granada;26;374;12;12;Makefile
angeljcc;Granada (Spain);Granada;9;373;0;5;JavaScript
bott17;Granada, España;Granada;6;372;1;1;Java
rubenlh91;Málaga;Málaga;0;371;0;0;
albatronic;Maracena - Granada - Spain;Granada;0;366;1;1;PHP
franexposito;Granada, Spain;Granada;6;363;1;1;CSS
jdnavarro;Sevilla, Spain;Sevilla;13;355;15;154;Haskell
vtellez;Seville (Spain);Sevilla;7;354;1;9;CSS
Delawen;Sevilla;Sevilla;38;351;12;22;JavaScript
LuisJoseSanchez;Málaga (Spain);Málaga;3;341;3;8;CSS
jghinestrosa;Almería, Spain;Almería;4;340;2;1;JavaScript
javiersantos;Seville, Spain;Sevilla;15;333;30;28;Java
jesusba;Dos Hermanas, Sevilla;Sevilla;20;330;0;0;Python
dmsgago;Sevilla;Sevilla;1;323;0;0;Python
germaaan;Granada / Almería (Andalucía), Spain;Almería;23;309;5;23;CSS
albertoqa;Granada, Spain;Granada;2;302;1;2;C++
JCristobal;Jaén, Granada;Granada;2;302;5;38;CSS
albertomolina;Sevilla, Spain;Sevilla;38;297;2;6;Python
tommypeps;Málaga, España;Málaga;4;288;4;176;Objective-C
danigm;Córdoba (España);Córdoba;50;286;71;35;Python
EduardOckerse;Málaga (Spain);Málaga;1;284;0;1;Java
jmcerrejon;Huelva, Spain;Huelva;2;283;31;16;Shell and Python
amian84;Seville;Sevilla;21;281;38;35;Ruby
carltorres;Granada;Granada;1;281;0;2;Shell
Neko250;Malaga, Spain;Málaga;0;276;1;173;JavaScript
aesedepece;Málaga, Spain;Málaga;34;274;71;56;JavaScript
jesusgollonet;Malaga, Spain;Málaga;87;272;213;147;Shell
analca3;Granada, Andalucía, Spain;Andalucía;23;271;6;20;Python
DavidGSola;Granada, Spain;Granada;3;269;0;3;Java
rafael1193;Granada, Spain;Granada;8;265;5;81;C#
Amab;Granada, Spain;Granada;13;263;14;24;HTML
cerberillo;Sevilla, Spain;Sevilla;11;263;27;68;C#
FranBarrera;Sevilla, Spain;Sevilla;15;262;0;0;Python
marcosdg;Seville (Spain);Sevilla;2;258;1;0;Shell
Nesta;Sevilla;Sevilla;42;253;28;48;JavaScript
JoseTomasTocino;Cádiz, Spain;Cádiz;21;252;19;28;JavaScript
mgidney;Jerez;Cádiz;0;248;1;3;Python
jsierles;Sevilla, Spain;Sevilla;123;248;323;136;Ruby
psicobyte;Granada, Spain;Granada;31;243;16;7;Python
amatellanes;Málaga, Spain;Málaga;26;234;75;24;CSS
Feagurth;Almería;Almería;5;232;0;0;Java
sgomez;Córdoba, Spain;Córdoba;24;224;16;40;PHP
AlvaroFaure;Málaga;Málaga;0;218;0;0;
vrivas;Jaen, Jaén, Granada, Spain;Granada;4;214;0;2;CSS
ban007;Málaga/España;Málaga;0;212;0;0;PHP
ccamposfuentes;Granada, Almería, Spain;Almería;5;212;1;1;CSS
BraulioVM;Málaga & Granada, Spain;Granada;19;212;11;37;JavaScript
DavidGasquez;Granada;Granada;15;212;33;33;C++
jraddaoui;Seville, Spain;Sevilla;3;211;0;8;PHP
3DRoberto;Seville. Spain;Sevilla;2;208;1;27;CSS and JavaScript
Sirikon;Málaga, Spain;Málaga;17;206;4;24;JavaScript
fedefernandez;Sevilla, Spain;Sevilla;11;205;65;33;Java
pacastillo;Granada (Andalucía, Spain);Andalucía;8;202;3;0;Java
Samu92;Granada;Granada;5;201;1;4;Ruby
jesusgn90;Granada;Granada;3;200;2;1;CSS
manumorante;Granada, Spain;Granada;11;200;1;40;CSS
enpi;Granada;Granada;3;197;0;3;CSS
josemazo;Seville, Spain;Sevilla;8;196;35;20;Python
Pakillo;Sevilla, Spain;Sevilla;46;195;76;329;R
acharluk;Jaén, Granada, Andalucía, Spain;Andalucía;7;194;0;7;Java
aborrero;Seville - Spain;Sevilla;7;190;19;52;Shell
juanjepl;Seville, Spain;Sevilla;4;190;0;5;HTML
carlosrodlop;Seville, Spain.;Sevilla;2;189;0;0;JavaScript
Makova;Granada, Spain;Granada;24;189;7;102;JavaScript
JuanjoSalvador;Almeria, España;Almería;11;188;7;19;Java
MiguelAngelLV;Almería;Almería;4;186;10;2;Java
FarK;Sevilla;Sevilla;8;185;15;20;C
burasu;El Puerto de Santa Maria, Cadiz. Spain;Cádiz;2;185;1;26;CSS
Bigomby;Sevilla, Spain;Sevilla;7;184;1;24;Java
pbaeyens;Granada, Spain;Granada;18;183;3;26;Haskell
inyenia;Sevilla;Sevilla;0;183;0;0;Ruby
janiversen;malaga, spain;Málaga;1;180;0;1;C
helfio;Granada, Spain;Granada;3;179;0;20;Python
ramako;Granada;Granada;2;179;3;3;JavaScript
FranciscoJaranaCamacho;Dos Hermanas, Sevilla;Sevilla;1;177;0;0;Python
NCordon;Granada, Spain;Granada;25;177;11;27;C++
haydenyoung;Granada, Spain;Granada;0;177;0;1;PHP
hopsor;Jerez de la Frontera, Cádiz, ES;Cádiz;5;175;4;29;Ruby
juanghurtado;Seville (Spain);Sevilla;25;175;49;184;JavaScript
capynet;Spain - Granada;Granada;8;174;14;6;JavaScript
daviddetena;Cordoba, Spain;Córdoba;0;172;0;0;Objective-C
drzippie;Sevilla, Spain;Sevilla;6;171;9;144;PHP
SergioRevueltas;Almería, Spain;Almería;7;171;1;2;HTML
juanfranrv;Granada (Spain);Granada;4;170;1;3;Shell
ManuelLR;Sevilla;Sevilla;5;170;0;2;HTML
dongrego89;Córdoba;Córdoba;9;169;0;0;C
albertorb;Seville;Sevilla;2;167;0;0;Python
Fasgort;Spain, Andalucia;Andalucía;2;167;2;1;C++
jorgeles;Granada;Granada;2;164;1;0;Java
deantares;Granada (Spain);Granada;20;163;10;9;Java
jlsalvador;Sevilla. España (Spain).;Sevilla;4;159;3;26;Shell
olea;Almería (Spain);Almería;19;159;41;17;C
Sloy;Seville, Spain;Sevilla;30;158;36;110;Java
pedroj;Sevilla, Spain;Sevilla;18;157;12;21;R
jresinas;Sevilla;Sevilla;2;156;2;0;Ruby
guillermochica;Granada, de Jaén;Granada;4;156;1;8;JavaScript
marcosbc;Seville, Spain;Sevilla;0;155;0;21;C
Darth-ATA;Granada, Spain;Granada;10;154;2;4;HTML
sergiogvz;Granada, Spain;Granada;3;152;0;0;Python
ppcano;Huelva (ES), Stockholm (SE);Huelva;20;151;86;135;JavaScript
themakerbb;Granada;Granada;1;151;3;1;JavaScript
alvaromm;Granada, Spain;Granada;4;151;0;1;CSS
MalGanis2;Huelva, Spain;Huelva;1;150;0;0;Java
javigonz;Málaga, Spain;Málaga;0;150;12;63;JavaScript
renatolrr;Granada;Granada;20;150;9;25;CSS
mariohm;Granada;Granada;8;149;1;2;JavaScript
antonioluna;Dos Hermanas, Sevilla;Sevilla;0;145;0;0;Python
pmarinr;Granada, Spain;Granada;11;145;12;9;C#
rogegg;Granada, Andalucía, España;Andalucía;13;142;5;3;CSS
mafraba;Sevilla, Spain;Sevilla;0;141;2;2;Ruby
rubenlagus;Granada;Granada;5;141;7;8;C++
jaimecp89;Sevilla, Spain;Sevilla;1;140;3;2;Java and C++
dasolma;Seville;Sevilla;2;140;0;2;Python
EvaristoGZ;Dos Hermanas, Sevilla;Sevilla;13;139;0;0;Python
spaniakos;Malaga, Spain;Málaga;5;139;3;3;C++
JMailloH;Granada - Spain;Granada;5;138;0;0;Python
camilocot;Málaga;Málaga;2;137;5;73;JavaScript
ezequielo;Seville, Spain;Sevilla;0;137;0;0;Python
Montagon;Cádiz;Cádiz;16;137;10;13;CSS
divadcr;Granada;Granada;6;135;1;8;Shell
Totemika;Málaga;Málaga;27;135;2;21;C#
santiagopuerta;Granada, Spain;Granada;7;134;6;30;C++
gasparms;Jaén,Spain,Europe;Jaén;5;133;3;37;Shell
softwarejimenez;Granada , Spain;Granada;20;133;4;5;C++
oxcar103;Granada, Spain;Granada;23;132;1;33;TeX
jsuarezruiz;Sevilla;Sevilla;9;132;4;4;C#
silt99;Granada;Granada;0;131;0;0;Shell
pablovg2;Sevilla;Sevilla;6;131;4;15;CSS
keilovecraft;Seville;Sevilla;9;131;0;2;JavaScript
pablocastilla;Seville, Spain;Sevilla;5;131;18;3;C#
victor1995mv;Córdoba, Spain;Córdoba;15;131;0;0;CSS
AdrianJB;Dos Hemanas, Sevilla;Sevilla;6;130;0;0;Python
JoseMHR;Malaga;Málaga;4;130;9;220;Java
rrgonzalez1992;El Puerto de Santa María;Cádiz;0;130;0;0;Java
carcam;Almería, Ceuta, Spain;Almería;3;129;7;5;PHP
dariosky;Malaga, Spain;Málaga;1;128;1;16;CSS
fjruizruano;Granada, Spain;Granada;2;128;6;9;Python
amorag;Granada, Spain;Granada;3;127;0;0;
raiben;Granada;Granada;5;127;5;1;Java
IsmiKin;Torremolinos, Málaga;Málaga;5;126;2;55;JavaScript
ernesmb;Almería;Almería;0;126;0;4;HTML
i32petoj;Córdoba, Spain;Córdoba;15;126;0;3;Java
jrfern;Málaga;Málaga;2;125;0;6;Python
eiriarte;Seville (Spain);Sevilla;0;124;0;38;JavaScript
