login; location; place; followers; contributions; stars; user_stars; language
mmoreram;Barcelona, Spain;Barcelona;151;6384;603;64;PHP
gavinking;Barcelona, Spain;Barcelona;151;6279;8;93;Ceylon
rnowm;Sitges, Barcelona;Barcelona;47;3006;32;24;JavaScript
leplatrem;Barcelona, Spain;Barcelona;89;2875;126;1.1k;Python
repejota;Girona;Gerona;31;2800;92;189;Makefile
sertansenturk;Barcelona, Spain;Barcelona;4;2723;4;2;Python
inafev;Barcelona;Barcelona;0;2393;4;12;Shell
alariva;Barcelona, Spain;Barcelona;9;2268;0;123;CSS
carloslozano;Sant Cugat del Vallès, Catalonia;Catalunya;20;2113;2;67;Shell
aleixpol;Barcelona;Barcelona;8;1941;2;36;Shell
alxndrsn;Barcelona;Barcelona;27;1928;76;81;Java
sailoog;Barcelona;Barcelona;10;1858;15;4;Python
nilportugues;Barcelona, Catalunya;Barcelona;54;1786;341;474;PHP
h0tbird;Barcelona;Barcelona;17;1737;32;25;Puppet
alorma;Barcelona, Spain;Barcelona;125;1613;730;670;Java
k0gaMSX;Barcelona (Spain);Barcelona;2;1593;6;4;C
blaiprat;London & Barcelona;Barcelona;13;1515;83;60;JavaScript
t0t;Barcelona;Barcelona;5;1466;1;128;CSS
mssola;Piera, Catalunya;Catalunya;14;1404;175;184;Go
karasu;Barcelona, Catalunya;Barcelona;34;1374;10;20;CSS
christkv;Barcelona, Spain;Barcelona;289;1340;909;242;JavaScript
josepramon;Catalunya;Catalunya;2;1338;0;8;JavaScript
placiano;Barcelona;Barcelona;3;1323;0;3;Shell
gentlecat;Barcelona;Barcelona;27;1317;51;132;Python
trikitrok;Barcelona;Barcelona;27;1310;33;6;Clojure
neo22s;Barcelona;Barcelona;36;1293;102;316;PHP
pearpages;Barcelona;Barcelona;5;1174;10;20;HTML
pditommaso;Barcelona, Spain;Barcelona;38;1138;141;563;Java
ctubio;Barcelona, Catalonia;Barcelona;4;1083;9;16;Shell
miquelsoler;Barcelona;Barcelona;0;1065;2;3;C++
plungerman;Barcelona;Barcelona;1;1034;0;60;
JoanClaret;Barcelona;Barcelona;39;1033;173;229;JavaScript
PatrickHeneise;Barcelona, Spain;Barcelona;47;1033;245;46;JavaScript
areski;Barcelona;Barcelona;129;1028;1026;629;Python
clintongormley;Barcelona, Spain;Barcelona;227;1021;96;40;Perl
2XL;Tarragona;Tarragona;6;1001;3;33;HTML
vHanda;Barcelona, Spain;Barcelona;17;992;2;15;C++
uesteibar;Barcelona;Barcelona;34;960;14;16;JavaScript
ecarreras;Girona;Gerona;40;941;43;921;Python
jaeandersson;Barcelona, Spain;Barcelona;9;938;12;14;C
rpau;Barcelona;Barcelona;18;916;19;22;Java
pplu;Barcelona;Barcelona;24;880;76;45;Perl
sephirot47;Barcelona, Spain;Barcelona;15;879;37;59;C++
katesheleh;Tarragona, Spain;Tarragona;2;834;0;0;CSS
alvaroabascar;Barcelona;Barcelona;14;832;8;65;Python
mgar;Barcelona;Barcelona;4;824;2;11;HTML
dasilvacontin;Barcelona, Spain;Barcelona;113;823;54;717;JavaScript
romartin;Barcelona;Barcelona;8;810;2;4;Java
shadeslayer;Barcelona, Spain;Barcelona;14;797;55;15;Shell
ferranvila;Barcelona;Barcelona;7;795;0;37;CSS
arkaik;Barcelona;Barcelona;2;758;1;0;HTML
toniher;Barcelona, Catalonia;Barcelona;13;749;8;4;JavaScript
belen-albeza;Barcelona;Barcelona;70;745;143;29;JavaScript
victorcoder;Barcelona;Barcelona;51;733;784;99;Go
ryanfox1985;Tarragona, Spain;Tarragona;5;731;0;5;Ruby
slluis;Barcelona, Spain;Barcelona;56;727;40;26;C#
danielguillan;Barcelona;Barcelona;53;717;749;402;CSS
tsdgeos;L'Hospitalet de Llobregat, Barcelona;Barcelona;8;713;0;257;C
dosimont;Barcelona;Barcelona;8;705;2;9;Shell
xispa;Barcelona;Barcelona;16;702;0;8;CSS
edugrasa;Barcelona;Barcelona;7;693;1;4;Shell
ichinaski;Barcelona;Barcelona;9;690;52;108;Go
gtrias;Barcelona;Barcelona;25;684;3;679;PHP
IreneMarin;Barcelona;Barcelona;5;682;9;24;HTML
gpawlik;Barcelona;Barcelona;5;679;24;24;JavaScript
alastair;Barcelona;Barcelona;88;674;261;105;Python
sneridagh;Barcelona;Barcelona;16;669;69;13;Python
chaosct;Barcelona;Barcelona;30;669;106;96;Python
fransua;Barcelona, Spain;Barcelona;13;665;9;28;Python
hiromipaw;Barcelona, Spain;Barcelona;34;664;25;11;Ruby
xerpi;Barcelona;Barcelona;60;664;224;85;C
lordofthejars;Barcelona;Barcelona;61;664;293;45;Java
est77;Barcelona;Barcelona;36;663;18;110;C++
kaitokidi;Barcelona;Barcelona;15;663;15;6;C++
srvaroa;Barcelona;Barcelona;19;662;2;60;Java
carloscuesta;Barcelona;Barcelona;12;661;50;7;CSS
nucliweb;Girona, Spain;Gerona;140;657;40;440;JavaScript
salvadorgascon;Barcelona;Barcelona;2;636;0;2;C#
frederic-perez;Barcelona, Spain;Barcelona;3;626;3;0;C++
carlbutron;Barcelona;Barcelona;165;619;96;22;Objective-C
PauGNU;Barcelona;Barcelona;2;614;0;1;JavaScript
Pinkii-;Barcelona, Ibiza;Barcelona;18;608;4;11;C++
aldomann;Catalonia;Catalunya;4;608;12;37;Python
freeart;Spain, Barcelona;Barcelona;3;606;12;56;JavaScript
