login; location; place; followers; contributions; stars; user_stars; language
benatespina;Santurtzi, Basque Country;Bilbao;18;5988;16;46;JavaScript
gorkalaucirica;Bilbao;Bilbao;8;4453;70;81;PHP
ojoven;Donostia - San Sebastián;Donostia;17;2456;21;17;PHP
porduna;Bilbao;Bilbao;41;1417;3;45;Python
soyjavi;Bilbao ✈︎ Chiang Mai ✈︎ London;Bilbao;828;1108;910;102;CoffeeScript
ibc;Bilbao & Madrid;Bilbao;72;860;152;78;JavaScript
aldatsa;Usurbil, Gipuzkoa (EH);Donostia;10;817;2;50;Shell
erral;Eibar, Gipuzkoa, Basque Country;Donostia;10;738;17;48;Python
rmhdev;Donostia;Donostia;2;656;48;40;PHP
alexsavio;San Sebastián, Spain;Donostia;16;615;9;32;Python
7flying;Bilbao;Bilbao;4;462;1;35;Python
xezpeleta;Basque Country;Euskadi;10;388;6;113;Shell
juanmanuelsanchez;Leioa, Vizcaya;Bilbao;0;385;0;0;JavaScript
merqurio;Basque Country;Euskadi;21;367;42;375;JavaScript
Aitorzubizarret;Eibar, Spain;Donostia;5;346;0;31;CSS
daviddesancho;Donostia - San Sebastián;Donostia;9;344;0;4;Python
ragerri;Donostia-San Sebastian;Donostia;8;335;2;1;Java
MikelS;Getxo;Bilbao;4;328;0;22;JavaScript
jonan;Bilbao, Spain;Bilbao;52;324;152;60;Java
erichlf;Bilbao, Basque Country -- Spain;Bilbao;5;316;2;21;TeX
jonabasque;Vitoria-Gasteiz (Basque Country);Euskadi;15;310;3;146;JavaScript
javray;Spain, Bilbao;Bilbao;2;307;6;11;JavaScript
edlectrico;Bilbao (Spain);Bilbao;18;288;7;12;Java
anderipartek;Bilbao;Bilbao;16;285;1;15;JavaScript
gexplorer;Bilbao;Bilbao;2;271;1;11;CSS
Skillath;Lasarte-Oria, Gipuzkoa;Donostia;6;246;2;1;C#
endSly;Bilbao, Spain;Bilbao;25;235;256;260;Ruby
rsleno;Bilbao, Spain;Bilbao;7;230;0;6;Python
Josebaseba;Bilbao;Bilbao;32;201;35;106;JavaScript
memaldi;Barakaldo;Bilbao;21;197;13;60;Python
iarganda;Donostia-San Sebastian, Spain;Donostia;8;180;1;3;Java
mediascape;Donostia;Donostia;12;170;2;0;JavaScript
jabesga;Bilbao, ES;Bilbao;8;168;0;28;Python
mikel-egana-aranguren;Bilbo;Bilbao;13;155;9;94;Shell
Sirikon;Bilbao;Bilbao;20;155;6;26;JavaScript
haas85;Bilbao;Bilbao;14;150;21;3;JavaScript
ddniel16;Bilbao;Bilbao;0;147;0;71;JavaScript
anajuaristi;Gipuzkoa (spain);Donostia;14;134;0;0;Makefile
aitiba;Donostia - San Sebastián;Donostia;11;130;2;38;JavaScript
JorgeNieto;Leioa;Bilbao;0;126;0;0;Java and TeX
joxeankoret;Basque Country;Euskadi;121;122;640;36;Python
xabikip;Gipuzkoa, Euskal Herria;Donostia;19;120;4;72;PHP
b0rxa;Donostia, Spain;Donostia;1;120;2;0;HTML
artberri;Barakaldo;Bilbao;69;116;90;13;JavaScript
olaldiko;Basque Country;Euskadi;12;112;0;14;CSS
Queky;Bilbao, Spain;Bilbao;7;111;0;0;Java
aberigle;Barakaldo;Bilbao;21;110;26;42;CSS
jonlatorre;Bilbao;Bilbao;0;109;6;11;Python
Ondiz;Bilbao (Spain);Bilbao;1;109;0;1;Matlab
jontorrado;Bilbao, Spain;Bilbao;9;107;0;4;PHP and Shell
jonathanSS;Donostia-San Sebastián, Gipuzkoa, Spain.;Donostia;1;105;2;3;Mathematica
ZenekeZene;Bilbao, Vizcaya, Spain;Bilbao;1;104;2;14;C#
txotxopue;Bilbao;Bilbao;2;103;0;0;C#
Gontxal0;Donostia;Donostia;12;102;1;55;Shell
juaristi;Donostia-San Sebastián;Donostia;2;101;1;0;Shell
Bingentzio;Basque Country;Euskadi;0;101;0;0;HTML
JAT91011;Barakaldo, Vizcaya, Spain;Bilbao;2;98;0;2;Java
Nicolab;Bidart, Euskadi (France);Euskadi;34;96;133;232;JavaScript
BBerastegui;Bilbao - Barcelona - Anywhere;Bilbao;6;96;1;13;Go
aitoralmeida;Bilbao;Bilbao;16;95;15;60;Python
DaniSancas;Bilbao, Spain;Bilbao;9;94;0;10;PHP
JPG-Consulting;Bilbao, Spain;Bilbao;0;94;1;1;PHP
josuigoa;Basque Country;Euskadi;4;93;45;12;Haxe
juananpe;Irún, Gipuzkoa;Donostia;8;93;5;62;R
blizarazu;Donostia;Donostia;1;91;2;8;JavaScript
jcdc21;Bilbao / Donostia;Bilbao;2;89;1;4;JavaScript
jonarrien;Portugalete;Bilbao;16;86;1;468;Ruby
BZaldua;Basque Country;Euskadi;2;84;0;0;JavaScript
Sulley38;Pasaia, Gipuzkoa;Donostia;5;83;1;1;C++
cmoro-deusto;Bilbao;Bilbao;13;82;11;106;Shell
ggalmazor;Donostia;Donostia;32;82;105;80;JavaScript
tomasmax;Bilbao;Bilbao;13;80;14;266;Java
jled7;Basque Country;Euskadi;0;76;0;3;HTML
MikelDelTio;Bilbao;Bilbao;0;73;6;3;JavaScript and Java
RubenBRR;Bilbao - Spain;Bilbao;0;71;0;0;Java
unaipme;Ordizia, Gipuzkoa;Donostia;2;71;0;0;Java
Falc;Bilbao, Spain;Bilbao;20;70;39;712;PHP
jabiinfante;Bilbao;Bilbao;8;66;2;30;JavaScript
Nahikariii;Bilbao, Bizkaia;Bilbao;5;66;2;2;C
txapelgorri;Bilbao;Bilbao;2;66;0;9;
StrongeLeeroy;Donostia - San Sebastián;Donostia;5;66;13;7;JavaScript
jaimehrubiks;Bilbao, Spain;Bilbao;1;65;2;5;Java
b1-66er;Bilbao;Bilbao;0;65;0;0;
eloygbm;Bilbao;Bilbao;13;62;1;17;Python and Shell
raul-arrieta;Bilbao ≜ Lekitto;Bilbao;0;62;0;4;JavaScript
pittuxx;Bilbao;Bilbao;0;59;0;0;JavaScript
ekaitz-zarraga;Bilbao (Spain);Bilbao;1;59;0;0;Makefile
franckalbinet;Bayonne, Basque country, France;Euskadi;2;58;0;3;JavaScript
rmedeiros;Basque Country;Euskadi;0;56;0;0;PHP
AdrianNunez;Basque Country, Spain;Euskadi;6;55;0;1;Java
asier-gutierrez;Bilbao;Bilbao;2;54;4;2;Java and CSS
lingo;Granada, Spain.  Previously in Brighton, UK, Bilbao, Euskadi / España, Chiapas, México and New Zealand;Bilbao;16;53;86;40;JavaScript
malkiah;Bilbao;Bilbao;1;53;1;1;HTML
devcfgc;Bilbao;Bilbao;1;49;1;1;Java
uorbe001;Bilbao, Bizkaia;Bilbao;10;47;26;14;JavaScript
andersagarduy;Bilbao;Bilbao;8;45;0;0;Ruby
bamsbamx;Bilbao;Bilbao;2;42;25;8;Java and HTML
deadsunrise;Bilbao, Spain;Bilbao;1;42;64;81;Ruby
rjgarciam;San Sebastián/Seville, Spain;Donostia;3;41;0;8;HTML and CSS
ibannieto;Bilbao, Basque Country;Bilbao;11;41;2;77;Shell
internetmosquito;Bilbao;Bilbao;2;39;3;9;Python
sharem;Bilbao;Bilbao;22;39;8;33;JavaScript
Imanolea;Bilbao;Bilbao;5;38;0;0;Java
hanbzu;Bilbao;Bilbao;2;38;3;31;JavaScript
txomin-jimenez;Donostia;Donostia;2;37;4;33;CoffeeScript
Elpayoquedibuja;Bilbao;Bilbao;0;37;2;2;CSS and JavaScript
ornitorrincos;Bilbao;Bilbao;2;37;16;3;C
