login; location; place; followers; contributions; stars; user_stars; language
ljmanso;Extremadura;Extremadura;5;973;1;6;Python
spaceisstrange;Cáceres, Spain;Cáceres;2;127;0;4;CSS
jormaral;(Badajoz), Spain;Badajoz;9;80;16;18;JavaScript
MiguelHidalgo1991;Almendralejo;Badajoz;3;67;0;0;Java
manumora;Mérida, Spain;Badajoz;0;56;3;6;Python
MrSuid;Cáceres, Spain;Cáceres;9;51;0;49;Java
jgalvezalegre;Badajoz, Spain;Badajoz;0;47;0;0;JavaScript and CSS
manolodd;(Badajoz) Spain;Badajoz;1;46;6;12;JavaScript
team-ecos;Extremadura;Extremadura;0;45;0;0;CSS
raultm;Almendralejo;Badajoz;24;42;7;191;PHP
jredrejo;Mérida - Spain;Badajoz;2;39;8;12;Python
vidaltoboso;CÁCERES;Cáceres;1;36;0;0;
anbarquer;Cáceres;Cáceres;0;32;3;3;Java
javgueram;Badajoz;Badajoz;0;30;0;0;JavaScript and CSS
alvar0hurtad0;Cáceres, Spain;Cáceres;8;29;5;6;Ruby
davidcamaleon;Don Benito (Badajoz);Badajoz;0;27;0;0;JavaScript
pgilfernandez;Badajoz, Spain;Badajoz;0;27;1;0;Batchfile
csuarez;Cáceres (Spain);Cáceres;24;24;36;189;PHP
javiernuber;Cáceres;Cáceres;1;22;2;10;PHP
ecerrillo;Mérida, Spain;Badajoz;0;21;0;0;Python
samuelsolis;Cáceres;Cáceres;1;15;0;0;PHP
pacovila;Badajoz, Spain;Badajoz;0;15;0;3;Shell
samu22893;Cáceres, España;Cáceres;1;14;0;0;Python
macram;Cáceres;Cáceres;2;14;0;5;Java
Venturich;Almendralejo;Badajoz;1;13;0;1;Java
garciacarmonaam;Quintana de la Serena, Badajoz, Spain;Badajoz;1;11;0;0;C++ and C#
beni0888;Cáceres - Spain;Cáceres;1;11;0;23;PHP
sergiocasero;Badajoz;Badajoz;2;10;1;0;JavaScript and HTML
miguelhurtado;Cáceres;Cáceres;0;9;0;0;JavaScript and CSS
Huaypitufo;Mérida;Badajoz;0;8;0;0;C#
frieser;Cáceres, Spain;Cáceres;7;7;2;233;PHP
fuseprods;Madrid / Cáceres;Cáceres;6;7;1;2;Arduino
carlosrj;Cáceres, Spain;Cáceres;0;6;0;0;CSS
lorentealberto;Cáceres, Spain;Cáceres;0;6;2;2;Python and JavaScript
EduardoRT;Mérida;Badajoz;6;5;0;204;
gonzalo-rodriguez;Cáceres (Spain);Cáceres;2;5;0;2;Python
Javier-varez;Badajoz, Spain;Badajoz;0;3;2;5;Objective-C
lmazus;Jerez de los Caballeros (Badajoz);Badajoz;0;3;0;1;
sirym;Badajoz;Badajoz;0;3;0;0;
vancasti;Cáceres;Cáceres;1;3;0;0;CSS
acaso;Mérida, Badajoz, Spain;Badajoz;1;3;0;0;Python
emmanuelvazc;Mérida;Badajoz;0;3;0;0;R
RobertoRodriguezGuerrero;Badajoz;Badajoz;0;2;0;0;Visual Basic and CSS
jcgimfer;Plasencia, Cáceres, Spain;Cáceres;0;2;0;0;
SolEpcc;Cáceres, Extremadura, Spain;Cáceres;3;2;0;0;
KurroCantos;Badajoz (Spain);Badajoz;0;2;0;0;Objective-C
afrasilv;Cáceres/Badajoz (Extremadura) - Spain;Badajoz;0;1;0;5;Java
branigan;Almendralejo;Badajoz;1;1;3;3;PHP and JavaScript
Ldiab;Mérida, Spain;Badajoz;0;1;0;6;
davidvalverde;Badajoz;Badajoz;0;1;0;0;ActionScript
rauljareno;Cáceres, Spain;Cáceres;0;1;0;0;Shell and Objective-C
sebastian041965;Badajoz;Badajoz;0;1;9;11;C++
javerage;Mérida;Badajoz;0;1;0;0;
