login; location; place; followers; contributions; stars; user_stars; language
notnotpsych0;Galicia, Spain.;Galicia;1;2702;2;10;CSS
oscarotero;Galicia;Galicia;94;2081;1557;196;PHP
fdansv;Madrid / Santiago de Compostela;Coruña;30;1793;608;23;Java
diegopau;Vigo, Spain;Pontevedra;5;915;5;25;JavaScript
jjelosua;Vigo, Spain;Pontevedra;35;697;7;52;JavaScript
rubenhortas;Lugo ⊕ A Coruña (Galiza, Spain);Coruña;19;612;6;23;Python
fpuga;Vigo. Spain;Pontevedra;9;595;4;15;CSS
unho;Galicia;Galicia;12;536;25;6;Python
mmontes11;A Coruña;Coruña;21;520;21;102;CSS
pablopunk;Santiago de Compostela;Coruña;6;480;5;16;CSS
ctemescw;A Coruña, Spain;Coruña;11;461;12;30;Arduino
rcoedo;A Coruña;Coruña;5;452;6;3;CSS
CytraL;Galicia;Galicia;8;442;21;16;C++
alambike;Santiago de Compostela;Coruña;13;426;13;310;Ruby
carlosga;Vigo, Spain;Pontevedra;4;402;5;11;C#
barcia;Galicia, Spain;Galicia;12;395;4;48;JavaScript
rafacouto;Galicia;Galicia;24;390;9;101;CSS
eusonlito;Ourense, Galiza;Galicia;23;375;199;28;PHP
castrinho8;A Coruña;Coruña;12;371;2;7;CSS
michogar;Vigo;Pontevedra;17;349;10;4;JavaScript
jacoborus;A Coruña, Spain;Coruña;69;349;177;520;JavaScript
ablunier;Compostela, Galiza;Galicia;8;343;10;60;PHP
inercia;A Coruña, Spain;Coruña;16;341;22;491;Go
alexandregz;Galiza;Galicia;18;326;67;1.1k;Shell
bertez;Brión, Galicia, Spain;Galicia;34;322;29;156;JavaScript
fasouto;Vigo, Spain;Pontevedra;30;299;445;467;Python
jesusVMayor;Lugo;Lugo;5;275;0;21;Python
nosolosw;Lugo;Lugo;20;261;4;0;JavaScript
adriannovegil;A Coruña;Coruña;5;260;3;4;Java
dalareo;A Coruña (Galiza);Coruña;16;256;1;779;CSS
franiglesias;Vigo;Pontevedra;0;251;0;0;PHP
cmoralesweb;Galicia, Spain;Galicia;4;246;5;21;PHP
jesusprubio;A Coruña;Coruña;66;243;153;1.5k;JavaScript
Beluki;Carballo, A Coruña, Spain;Coruña;2;238;31;69;Python
chezwhite;Ourense, Spain;Orense;2;223;0;0;JavaScript
Reimashi;Ourense, Spain;Orense;3;222;0;1;C#
carlosgoce;Baiona, Pontevedra, Spain;Pontevedra;4;214;2;26;Python
carlosabalde;A Coruña, Spain;Coruña;4;211;50;16;Shell
segundofdez;Lugo, Galicia, Spain;Galicia;12;206;8;127;CSS
McOmghall;Santiago de Compostela;Coruña;2;205;3;8;JavaScript
liraru;Galicia, Spain;Galicia;1;203;2;3;HTML
pablormier;Santiago de Compostela;Coruña;20;202;7;461;Java
kix2902;Vigo, Spain;Pontevedra;18;201;0;35;Java
dpino;Vigo;Pontevedra;21;199;48;29;Java
antoniovazquezblanco;Chantada, Lugo, Spain;Lugo;18;184;8;22;C
ndrs92;Ourense;Orense;18;178;2;7;CSS
antonmry;Galicia;Galicia;2;176;1;2;Java
jbgutierrez;A Coruña, Galicia, España;Coruña;14;174;104;130;Ruby
markoshorro;Galicia;Galicia;13;174;5;29;C
weberjavi;Galicia, Spain.;Galicia;14;165;0;15;CSS
lauramcastro;A Coruña, Spain;Coruña;13;164;11;35;Erlang
omar7r;Lugo, Spain;Lugo;11;162;0;25;Python
gonzaloiv;Santiago de Compostela;Coruña;4;155;5;2;CSS
felipecorral;Santiago de Compostela;Coruña;8;152;5;16;Java
agonbar;Ourense, Spain;Orense;2;151;0;0;JavaScript
anpefi;Vigo, Spain;Pontevedra;1;148;0;28;CSS
braisNQ;Ourense;Orense;5;148;0;35;CSS
tomymolina;Ourense, Spain;Orense;0;148;4;6;JavaScript
ssaavedra;A Coruña, Spain;Coruña;17;146;10;37;Shell
kojicomics;Galiza (Spain);Galicia;3;144;1;63;Python
albertoruibal;Galicia, Spain;Galicia;24;138;49;10;CSS
adoankim;Vigo;Pontevedra;10;137;5;384;JavaScript
kewelinho;A coruña;Coruña;2;136;1;47;JavaScript
juliome10;Galiza;Galicia;16;131;158;17;Java
sotogarcia;Vigo, Spain;Pontevedra;10;124;25;11;Python
nakome;La Coruña;Coruña;11;117;4;9;PHP
msantanagonzalez;Ourense,Spain;Orense;6;116;1;0;CSS
david-campos;Galicia, Spain;Galicia;1;115;0;0;Java
davidemdot;A Coruña, Spain;Coruña;1;113;1;1;Java
andru;Galiza, Spain;Galicia;9;104;4;138;JavaScript
christianponte;Galicia, Spain;Galicia;2;103;0;0;CSS
bertogs;Galicia,Spain;Galicia;0;102;0;11;Java and C++
daviddiz;A Coruña;Coruña;1;101;1;5;Python
joedicastro;A Coruña, Spain;Coruña;81;100;636;765;Python
Peque;Vigo, Spain;Pontevedra;13;99;3;66;Python
antonioferngarcia;(Spain) A Coruña - Pontevedra;Coruña;0;99;0;3;
palas;Lugo, Spain;Lugo;3;98;0;16;Erlang
droidpl;A Coruña;Coruña;2;97;9;5;Java
jsanroman;Vigo;Pontevedra;7;95;5;165;Ruby
Fynardo;A Coruña;Coruña;6;94;0;0;C
BalbuenaJuan;Vigo (Galicia, España);Galicia;8;93;1;4;CSS
orestes;Barcelona → ✈️ → Galicia;Galicia;14;87;1;144;JavaScript
jorgemarey;A Coruña;Coruña;6;83;1;30;Go
gaioso;Santiago de Compostela, Galicia (Spain);Coruña;3;83;0;10;CSS
jacoboqc;Vigo;Pontevedra;4;82;0;28;Java
andresgomezvidal;Santiago de Compostela;Coruña;3;80;0;64;Shell and Python
dieg0v;Lugo, Galicia, Spain;Galicia;7;80;30;18;PHP
danidiaz;A Coruña, Spain;Coruña;12;78;41;251;Haskell
antiapuentes;A Coruña;Coruña;1;78;1;1;Erlang and Python
santiarg;Lugo, Spain;Lugo;4;77;0;2;Python
duqueGZ;A Coruña (Galicia, Spain);Coruña;1;77;0;26;Java and HTML
adrinieto;Santiago de Compostela;Coruña;1;76;1;24;Python
alejandrosantana;Vigo (Spain);Pontevedra;10;76;1;20;Python
xoan;A Coruña, Spain;Coruña;47;75;40;215;JavaScript
ResonantWave;Santiago de Compostela, ES;Coruña;5;72;3;0;Python
cvarela;Ferrol, Spain;Coruña;1;70;0;0;
OoNEKERAFAoO;A Coruña / Galicia (Spain);Coruña;0;70;7;12;C
JoseBalado;Santiago de Compostela, Spain;Coruña;2;69;0;3;JavaScript
ifcunharro;Pontevedra, Spain;Pontevedra;7;68;0;6;Java
oknalv;Ourense;Orense;3;67;0;1;CSS
Pablo-Rodriguez;Vigo, Galiza;Galicia;4;67;0;13;HTML
oscarcv;A Coruña;Coruña;3;63;0;55;Objective-C
edupoch;A Coruña, Spain;Coruña;6;63;2;6;JavaScript and PHP
victorsndvg;Santiago de Compostela;Coruña;7;62;24;197;FORTRAN
rafalopez79;Vigo, Spain;Pontevedra;1;62;0;8;Java
yrodrigez;Ourense, Spain;Orense;3;61;0;0;CSS
dieg0vb;Padrón - Galicia;Galicia;0;60;1;2;Shell
ivnc;Galicia, Spain;Galicia;0;58;0;0;Batchfile
calvaris;A Coruña;Coruña;4;57;0;0;Python and Shell
migonzalvar;Vigo, Pontevedra, Spain;Pontevedra;24;57;41;73;Python
hectorrs;Ourense;Orense;4;57;0;0;Java
alopezsanchez;A Coruña. España;Coruña;0;55;1;7;ApacheConf
Ciges;36210 Vigo (Spain);Pontevedra;7;55;12;8;JavaScript
megalomono;A Coruña;Coruña;3;54;0;3;Ruby
jandrop;Narón, Spain;Coruña;0;54;1;1;Java
chavaone;A Coruña, Galiza;Coruña;18;54;20;82;JavaScript
jlobec;A Coruña;Coruña;4;54;0;0;CSS
Kaizo88;A Coruña;Coruña;0;54;0;0;Java
josealonsogarcia;A Coruña;Coruña;0;53;0;16;Objective-C
epicleptico;Vigo, Spain;Pontevedra;6;53;2;85;JavaScript
damianfral;Vigo;Pontevedra;14;53;16;278;Haskell
clopez;A Coruña;Coruña;6;53;25;48;Shell
davidgf;A Coruña;Coruña;3;52;1;4;JavaScript
pedrocelard;Ourense, Spain;Orense;1;51;0;0;Java
ignlg;Vigo, Spain;Pontevedra;3;51;7;116;Shell
hlfernandez;Ourense (Galicia);Galicia;2;51;0;4;Java
pabloarias;Vigo (Spain);Pontevedra;9;51;6;32;PHP
franrua;A Coruña;Coruña;8;49;3;0;Emacs Lisp
ainhoacr;A Coruña;Coruña;3;49;0;2;Objective-C
j0ssGZ;Pontevedra, Galicia;Galicia;7;47;1;5;HTML
alejandrofortes;A Coruña;Coruña;3;47;0;0;Java
mrjato;Ourense, Spain;Orense;16;46;6;6;Java
IvanNIeto;Vigo, Spain;Pontevedra;0;46;0;1;CSS
OrdinaryMagician;Galicia, Spain;Galicia;110;46;67;0;C
sandboxwebs;La Coruña;Coruña;0;46;0;0;HTML
vilasmaciel;Vigo;Pontevedra;1;46;1;8;JavaScript
rrialq;Santiago de Compostela - La Coruña - Spain;Coruña;1;44;1;1;Java
VictorP;Ferrol;Coruña;1;44;0;13;
Pteridium;Vigo, Spain;Pontevedra;12;44;4;14;Assembly
fraguela;A Coruña, Spain;Coruña;0;44;0;0;C
olalinv;Galicia (Spain);Galicia;0;43;0;9;JavaScript
MarioCordovilla;A Coruña;Coruña;0;43;0;2;
dcabalas;Ourense;Orense;6;43;0;65;ApacheConf
andresmmera;Vigo (Spain);Pontevedra;0;41;0;0;C++
ltilve;Pontevedra;Pontevedra;2;41;0;5;HTML
pagafa;Pontevedra;Pontevedra;0;41;1;3;Java
pazos;Santiago de Compostela, gz;Coruña;0;41;3;0;Shell
gmarko;Vigo;Pontevedra;1;40;0;0;CSS
oscar2695;Ourense;Orense;3;40;0;0;HTML
kmikodev;Coruña;Coruña;2;39;3;0;CSS
breogangf;Santiago de Compostela;Coruña;7;39;2;5;JavaScript
burus86;Rianxo (A Coruña);Coruña;0;38;0;0;JavaScript
rubengglez;Tui, Pontevedra;Pontevedra;0;38;0;0;CSS
daavoo;Vigo;Pontevedra;1;38;0;0;
MarcosBL;Lugo, Spain;Lugo;27;37;7;22;PHP
manufy;Galicia - Spain;Galicia;3;36;13;13;PHP
pnietoiglesias;Vigo (Spain);Pontevedra;2;36;0;12;Python
tonimc;Ourense;Orense;12;36;2;117;Java
eipporko;A Coruña, Spain;Coruña;2;35;6;24;C++
mcvendrell;Ourense (Spain);Orense;6;35;19;43;JavaScript
sroca93;Vigo, Spain;Pontevedra;0;35;0;0;JavaScript
eduardocorbelle;Escola Politécnica Superior, Campus de Lugo;Lugo;0;34;0;0;R
albertoluengo;Lugo, Galicia, Spain;Galicia;1;34;0;0;HTML and Java
Ricardolau;Vigo - España;Pontevedra;4;34;0;1;PHP
javierev;A Coruña;Coruña;6;33;2;3;CSS
horaciogd;Galicia / Spain;Galicia;1;33;4;2;CSS
mpedreira;La Coruña;Coruña;0;33;0;0;R
migrax;Vigo;Pontevedra;1;33;4;4;C++
DanielAbalde;Vigo, España;Pontevedra;9;33;14;0;Visual Basic
davidfb;A Coruña, Spain;Coruña;2;32;7;3;Ruby
csanvas;Galicia, Spain;Galicia;1;32;0;3;CSS
juanjoseixas;A Coruña, Spain;Coruña;8;32;0;579;CSS
andratwiro;Vigo;Pontevedra;1;31;0;0;CSS and JavaScript
luisgf;Vigo, Spain;Pontevedra;5;31;4;3;Python
eccoilmoro;Lugo;Lugo;1;31;0;2;Python
diegodelemos;Ourense, Spain;Orense;5;30;0;0;CSS
rubencougil;Vigo;Pontevedra;17;30;1;13;JavaScript
galirema;Santiago de Compostela. Galicia. Spain;Coruña;0;30;0;1;
OsuKrafter;Galicia, Spain;Galicia;1;30;2;9;HTML
LucasMontero;Lugo, Galicia, Spain;Galicia;2;30;0;0;JavaScript
pdorgambide;Pontevedra Spain;Pontevedra;1;30;13;51;Java
viticlick;Ourense, Spain;Orense;4;30;4;3;Java
gonzalezsieira;Santiago de Compostela, Spain;Coruña;5;30;0;12;
