login; location; place; followers; contributions; stars; user_stars; language
quickapps;Pamplona, Navarra - Spain;Navarra;20;26290;139;10;PHP
mmoreram;Barcelona, Spain;Barcelona;129;6988;503;59;PHP
Bernardo-MG;Spain;España;2;4564;0;21;Shell
JJ;Granada, Spain, Europe;Granada;244;4533;382;141;Perl
niwinz;Madrid, Spain, Sofia, Bulgaria;Madrid;300;4156;2077;929;Python
javierarce;Madrid;Madrid;70;4061;175;762;JavaScript
gavinking;Barcelona, Spain;Barcelona;135;3917;6;73;Ceylon
rnowm;Sitges, Barcelona;Barcelona;47;3846;29;23;JavaScript
mvdan;Barcelona;Barcelona;43;3037;221;36;Go
leplatrem;Barcelona, Spain;Barcelona;72;3019;106;880;Python
Maks3w;España (Spain);España;105;2923;153;64;PHP
juanignaciosl;Madrid - Valladolid;Madrid;19;2917;16;44;JavaScript
mbarrenechea;España;España;2;2739;0;0;Ruby
rochoa;Madrid, Spain;Madrid;34;2652;3;799;JavaScript
viddo;Madrid, Spain;Madrid;20;2526;7;343;CoffeeScript
alexgallardo;Madrid;Madrid;7;2481;0;31;PHP
adolfopa;Madrid;Madrid;7;2442;15;88;Shell
carloslozano;Sant Cugat del Vallès, Catalonia;Catalunya;15;2437;1;59;HTML
sergiogonzalez;Madrid;Madrid;26;2420;18;13;Java
sanacl;Madrid;Madrid;9;2393;1;6;CSS and Python
pedrobaeza;Spain;España;84;2363;4;0;Python
javiereguiluz;Vitoria-Gasteiz (Spain);Álava;447;2357;1562;492;PHP
ealonso;Madrid;Madrid;6;2356;4;14;Java
jotegui;Pamplona, Spain;Navarra;3;2348;7;6;Python
shakaran;Manzanares, Ciudad Real, España;Ciudad Real;18;2270;37;76;PHP
apercas;Madrid, Spain;España;4;2248;3;4;CSS
benatespina;Santurtzi, Basque Country;Bilbao;17;2229;14;63;JavaScript
dmoranj;Madrid (Spain);Madrid;19;2174;28;19;JavaScript
Obijuan;Madrid (Spain);Madrid;168;2051;198;28;Python
pleonex;Granada, Andalucía, Spain;Granada;27;2045;42;115;C#
alejandrodob;Madrid, Spain;Madrid;15;2036;0;9;Python
repejota;Girona;Gerona;20;1993;68;155;JavaScript
pedrovgs;Madrid;Madrid;757;1993;1505;228;Java
Kikobeats;Murcia, Spain;Murcia;120;1983;913;430;JavaScript
oscarotero;Galicia;Galicia;72;1948;895;210;PHP
gentlecat;Barcelona;Barcelona;21;1903;47;117;Go
teleyinex;Madrid, Spain;Madrid;44;1900;41;89;JavaScript
kzangeli;Spain;España;4;1870;0;0;
aitoroses;Pamplona, Spain;Navarra;6;1870;19;555;JavaScript
acs;Getafe, Madrid, Spain;Madrid;9;1864;10;18;JavaScript
ojoven;Donostia - San Sebastián;Donostia;13;1844;12;17;PHP
juliocamarero;Madrid;Madrid;50;1814;46;36;JavaScript
opalenzuela;Barcelona;Barcelona;17;1791;67;28;Shell
davidromani;Spain;España;18;1785;0;46;PHP
vHanda;Barcelona, Spain;Barcelona;14;1772;1;12;C++
luisivan;Madrid, Spain;Madrid;81;1732;100;169;JavaScript
manvalls;Spain;España;3;1713;3;51;JavaScript
fgalan;Madrid, Spain;Madrid;14;1696;3;9;Shell
jaeandersson;Barcelona, Spain;Barcelona;8;1655;7;14;C++
aleixpol;Barcelona;Barcelona;8;1649;1;15;Shell
javacasm;Granada, Jaén (Spain);Granada;10;1605;7;52;Java
rafatower;Madrid;Madrid;5;1590;1;2;Shell
pakozm;Alfara del Patriarca (Valencia), Spain;Valencia;35;1555;140;295;Lua
andreslucena;Madrid;Madrid;19;1552;1;18;Ruby
javilonas;Sevilla, Andalucía,  (España);Sevilla;18;1544;36;0;Shell
bameda;Madrid, Jaén, Spain, España;Jaén;69;1532;42;160;Python
h0tbird;Barcelona;Barcelona;11;1525;24;17;Puppet
rchavarria;Spain;España;6;1511;24;45;JavaScript
nilopc;Barcelona, Catalunya;Barcelona;34;1504;16;401;PHP
nhpatt;Madrid, Spain;Madrid;31;1488;49;96;Java
