province;population;users;contributions;stars;user_stars;followers
Albacete;395910;22;966;49;340;29
Alicante;1852789;148;8950;474;5467;425
Almería;689280;59;5053;1018;752;306
Álava;320908;29;3039;1797;2534;586
Asturias;1054408;126;12290;694;2330;509
Ávila;166318;4;19;3;25;3
Badajoz;687074;30;680;47;496;50
Baleares;1121739;104;6303;1296;2081;779
Barcelona;5435373;2017;176204;41237;76588;14700
Bilbao;1138090;179;15072;2382;5912;1884
Burgos;363739;15;449;5;425;16
Cáceres;406513;21;389;48;498;66
Cádiz;1247884;82;4538;424;861;475
Cantabria;586395;42;2967;152;624;73
Castellón;574659;16;1400;1166;299;102
Ciudad Real;515887;24;2721;187;621;133
Córdoba;796680;122;4979;368;1645;446
Coruña;1130354;141;6827;1409;5953;661
Cuenca;207409;4;389;1;12;3
Donostia;707046;56;8256;194;871;253
Gerona;741017;54;4637;1072;2465;432
Granada;919663;333;46129;2511;6369;2275
Huelva;521798;14;2733;159;405;141
Huesca;222696;11;584;141;502;64
Jaén;653652;44;6393;215;926;249
León;481752;29;765;65;181;59
Lleida;431426;41;2249;847;534;159
Lugo;340070;24;1631;74;305;107
Madrid;6376610;2183;225912;53883;78476;18918
Málaga;1626168;204;11907;1344;4699;804
Murcia;1463797;108;7698;3623;2795;606
Navarra;636024;46;27719;346;1318;154
Ourense;320217;18;1592;0;0;73
Palencia;166496;8;524;84;178;21
Las Palmas;1102750;102;4827;749;3835;441
Pontevedra;948588;105;6310;3094;2369;939
Rioja;314062;19;890;174;504;127
Salamanca;343044;44;2676;1329;447;225
Tenerife;1017785;97;7151;625;5091;642
Segovia;158595;12;262;16;91;20
Sevilla;1937412;391;25722;5516;8937;2367
Soria;92202;3;274;0;3;4
Tarragona;792868;51;2798;224;2911;153
Teruel;138709;2;109;0;41;3
Toledo;693243;31;3078;52;508;103
Valencia;2521771;399;29953;2792;13143;1679
Valladolid;527617;82;11942;587;1911;448
Zamora;185168;7;124;19;354;10
Zaragoza;967354;185;19416;2258;4475;1285
Ceuta;84618;2;139;8;5;6
Melilla;83685;1;40;1;4;9
