login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
Worllhmar;Albacete, Spain;0;236;0;6;0
sjimenez77;Albacete, Spain;4;183;2;9;0
jantoniomartin;Albacete, Spain;3;140;15;6;0
jgallud;Albacete;5;70;1;3;0
r0i;Hellin, Albacete, España;7;67;0;2;0
jialonso;Albacete;0;54;0;4;0
tesorieror;Albacete, Spain;0;39;0;2;0
dbuedo;Albacete, Spain;0;39;0;4;0
jcozar87;Albacete, Spain;1;29;0;2;0
amon-ra;Albacete;1;26;10;3;0
jacintoArias;Albacete, Spain;0;23;0;2;0
ecdani;Albacete;3;15;0;2;0
dawidhml;Albacete;0;14;0;2;0
Manugardi;Albacete, Spain;0;5;1;1;0
fjdolz;Albacete;0;4;0;2;0
javato;Albacete;3;3;0;1;0
augurarte;Albacete (Spain);0;2;0;1;0
riazavalverde;España, Albacete;1;2;0;1;0
CsanchezC;Albacete;2;2;0;1;0
Chopete;Albacete (Spain);0;1;0;1;0
Spinlogic;Albacete;1;1;0;1;0
ppalazon;Albacete;0;1;8;1;0
alfonsomoratalla;Albacete;0;1;0;1;0
