login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
joakin;Alicante, Spain;23;1292;107;;
Zombispormedio;Elche;6;999;1;;
lronaldo;Alicante;14;720;41;;
VictorAlbertos;Alicante (Spain);53;521;847;;
kutyel;Alicante, Spain;17;382;149;;
dviejo;Alicante, Spain;6;324;9;;
pdrogfer;Almoradi, Alicante;1;285;3;;
miguelcarvajal;Elche, Spain;7;230;3;;
wigsyboy;Alicante, Spain;0;227;0;;
ConstantinoCallado;Elda (Alicante);3;224;0;;
jeselxe;Elche;8;219;8;;
manulaiko;Alicante (Spain);3;205;2;;
BCasal;Alicante, Spain;2;202;0;;
hopesend;Elche (Alicante);3;175;0;;
boudydegeer;Alicante, Spain;5;173;1;;
AbelVM;Alicante (Spain);4;173;2;;
SametSisartenep;Alicante, Spain;19;167;59;;
hllorens;Alicante, Spain;5;167;14;;
escorponox;Alicante, Spain;16;150;0;;
rubenmv;Alicante;3;147;5;;
DanielFinestrat;Alicante, España.;0;136;0;;
ja-bravo;Alicante, Spain;2;128;2;;
omarllorens;Dénia, Alicante;2;127;0;;
jcarlos2289;San Vicente del Raspeig, Alicante, España;1;125;0;;
mfernam;Alicante, Spain;2;121;0;;
jaimenj;Alicante;5;119;0;;
xoner;Pego (Alacant, Spain);1;118;6;;
Ennaxor;Alicante;6;112;0;;
damianmcdonald;Alicante, Spain;6;111;3;;
jisbert;San Juan de Alicante (España);3;105;3;;
Bym24v;Almoradi, Alicante;3;99;0;;
Blitzman;Alicante;4;98;7;;
Planelles20;Alicante, Spain;6;90;4;;
carlosentornos;ALCOY, ALICANTE, ESPAÑA;0;89;0;;
juasiepo;Alicante;2;88;8;;
jruzafa;Alicante;51;86;29;;
AdamMiltonBarker;Alicante,Spain;10;84;1;;
aba93;Alicante (Spain);2;83;0;;
Moter8;Alicante, Spain;5;81;3;;
fjcapelo;Alicante (spain);0;79;1;;
franktoffel;Alicante, Spain;12;77;11;;
jersiovic;Alicante SPAIN;0;76;0;;
Hectormm;Alicante;6;75;0;;
paveltrufi;Santa Pola (Alicante);4;74;0;;
mbernabeu;Alicante, ES;4;74;0;;
anallor;Alicante;11;70;1;;
StormBytePP;Alicante, Spain;3;69;3;;
elguardian;Alicante, Spain;1;67;0;;
marionety;Alicante, Spain;7;63;3;;
sansanomiralles;Elx;2;63;0;;
jorgeazorin;Alicante, Spain;0;61;1;;
davilious;Alicante, Spain;7;57;1;;
alejandroSuch;Alicante, Spain;5;56;6;;
AngelDR;Alicante;1;54;1;;
NatsuGirl;Alicante;0;54;0;;
guilu;Alicante, Spain;2;52;9;;
cristinarivera;Alicante, Spain;0;51;0;;
ahmedadelhassan;Alicante, Spain;2;49;4;;
empanadix;Alicante;3;47;0;;
drcz;Alicante;4;47;9;;
navarrillo;Alicante, España;0;45;0;;
olivermontes;Spain / Alicante;37;44;6;;
tecnicoAitex;Alcoy;0;44;0;;
chmutoff;Alicante (Spain);0;44;1;;
webeffects;Alicante, Spain;2;44;0;;
panfri787;Alicante;7;43;3;;
WedgeSparda;Alicante, Spain;8;41;11;;
franborjavalero;Elche, España;0;40;0;;
rpairo;Alicante;7;37;0;;
felixem;Alicante;3;36;0;;
xgalen;Benidorm, Alicante, Spain;9;34;0;;
aydevosotros;Alicante;5;33;2;;
BlauDev;Alacant (Spain);0;31;1;;
Gynoid-M;Alicante (Spain);0;29;3;;
pgquiles;Alicante (Spain);2;28;3;;
alberapps;Alacant, Spain;1;27;1;;
koliko;Elche (Spain);0;27;3;;
lotelx;Elx;1;25;1;;
juanseguravasco;Alcoi;0;25;0;;
willworth;Alicante, Spain;2;24;1;;
MihaiDaniel97;Altea, Alicante, España.;0;23;0;;
msanpe;Alicante, Spain;1;22;0;;
Neosss;Alicante (Spain);1;22;1;;
trackuino;Alicante (Spain);8;21;36;;
jlopez-alcoitec;Alcoy, Alicante, Spain;0;20;0;;
oluckyman;Benidorm, Spain;4;18;0;;
maximusdiegus;Elche, 03202, Alicante, Spain;0;17;0;;
shadowlink;Elche;2;16;4;;
aberopeDevopen;Alcoy, Alicante, Spain.;0;16;0;;
davidespihernandez;Alicante, Spain;1;16;0;;
pedperpat;Alicante,Spain;10;15;2;;
JavierLight;Elche;10;15;0;;
