login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
javacasm;Spain, Granada, Jaén, Andalucía;19;2526;12;17;0
javilonas;Sevilla, Andalucía,  (España);19;2332;36;17;6
pleonex;Granada, Andalucía, Spain;28;1943;51;33;4
josedom24;Utrera, Sevilla, Andalucía, Spain;24;1433;3;11;3
iblancasa;Granada, Andalucía, Spain;43;1351;61;43;43
germaaan;Granada / Almería (Andalucía), Spain;46;851;14;19;0
lrlopez;Linares, Jaén, Andalucía, Spain;18;673;6;78;0
agarciamontoro;Granada, Andalucía, Spain;38;545;24;13;2
pacastillo;Granada (Andalucía, Spain);15;486;4;7;0
analca3;Granada, Andalucía, Spain;31;357;30;7;0
dmsgago;Sevilla, Andalucía, España;1;325;0;6;0
Virako;Sevilla, Andalucía, Spain;27;318;10;8;0
alfem;Seville, Andalusia, Spain;7;235;9;5;0
acharluk;Jaén, Granada, Andalucía, Spain;13;185;0;16;0
rogegg;Granada, Andalucía, España;14;184;8;5;0
luismagr;Jerez de la Frontera, Cádiz, Andalucía, España;12;138;14;7;0
Ciorraga;Jaén, Andalucía, España;4;131;1;15;0
Galaxy42;Jerez de la Frontera, Andalusia, Spain;8;124;9;4;0
Fasgort;Spain, Andalucia;2;117;3;10;0
jamj2000;Andalusia, Spain;5;116;1;6;0
LuisFcoOrtiz;Andalucia, Spain;2;84;0;4;0
Mangu93;Malaga, Andalusia.;8;80;2;4;0
calvellido;Villamartín (Andalucía);0;68;2;4;0
zombites;Sevilla, Andalucía;1;48;0;3;0
elotrojj;Granada, Andalucía, Spain, Europe;1;43;0;2;0
juanvelascogomez;Granada, Andalucía, Spain;15;35;0;2;0
geowe;Córdoba, Andalucía (España);0;30;0;6;0
lyon-17;Andalucia, Spain;0;30;0;3;0
manueltoscanoferrera;Seville, Andalusia, Spain;1;28;1;2;0
Tonylu11;Córdoba, Andalucia, España;3;27;0;3;0
bodypheo;Málaga, Andalucía,Spain;6;23;3;1;0
BeardOverflow;Jaén, Andalucía, España;1;23;1;3;0
jmchia;Andalucía;4;22;2;1;0
hginer;Sevilla, Andalucía, España.;5;20;0;3;0
juandesant;Jodrell Bank Observatory, SK11 9DL, UK, before Instituto de Astrofísica de Andalucía, Granada, E-18008, European Southern Observatory, Munich, D-80805;9;19;6;1;0
Perezcastro;Priego de Córdoba, Andalucía, España;0;16;0;3;0
OlmoVisedo;Andalucía;0;13;0;2;0
ravefu;Granada, Andalucía, España (Spain);1;12;0;1;0
calambrenet;Andalucía (España);1;12;2;2;0
scottalanmiller;Andalusia, Spain;0;11;1;5;0
jcromero70;Cabra - Córdoba - Andalucia - España;2;9;0;1;0
kikoseijo;Andalucía, Málaga.;0;8;1;1;0
jcpenuela;Sevilla (Andalucía - España);2;6;0;1;0
daniconil;Andalucía;2;5;0;1;0
frantello;Huelva, Andalucia, Spain;0;5;0;1;0
jesusaguilera;Andalucía;1;5;0;1;0
albrtogarcia;Seville, Andalucia;1;4;0;1;0
josecuesta76;Andalucia;0;4;0;1;0
carlop;Granada, Andalucia, Spain;5;4;5;1;0
jpoesen;Andalusia, Spain;18;2;13;1;0
grg121;Granada, Andalucia, Spain;2;2;0;2;0
jose2196829;Granada, Andalusia, Spain;0;1;0;1;0
