login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
robertoDiaz;Madrid - Gijón;3;1304;0;19;0
bigardone;Asturias, Spain;69;1241;815;30;17
davidmogar;Asturias, Spain;8;987;30;20;0
albfan;Gijón, Spain;7;978;267;7;0
ivanarrizabalaga;Oviedo, Asturias, Gijón;2;686;0;12;0
enoliglesias;Gijón;8;611;9;15;0
labra;Asturias;44;581;38;12;0
brenes;Asturias;27;507;56;6;0
odarriba;Asturias, Spain;18;444;57;8;0
sergioalvz;Oviedo, Spain;14;384;0;6;0
dreamingechoes;Gijón, Asturias;16;337;43;6;0
mvidalgarcia;Oviedo, Asturias, Spain;5;325;2;10;0
carloscabo;MIeres del Camín;31;318;165;6;0
mifl;Oviedo, Spain;33;318;18;4;0
vortizhe;Oviedo / Valencia (Spain);18;299;31;11;0
jorgeyp;Asturies;10;299;6;8;0
jav1palace;Gijón;4;195;1;7;0
marcoalopez;Oviedo, Spain;0;189;1;4;0
danynab;Asturias, Spain;8;182;0;7;0
Seryusjj;Oviedo, Spain;16;158;4;8;0
ZenMaster91;Oviedo, Asturias, Spain;0;154;0;7;0
belaustegui;Asturias, Spain;13;152;0;5;5
Ikzer;Asturias, Spain;8;148;0;3;0
pablorc;Gijón, Asturias;13;138;0;5;0
pykiss;Oviedo España;4;119;20;4;0
miguelangelprogramacion;Asturias;7;107;2;3;0
SantiMA10;Asturias, España;6;104;1;10;0
iglezh;Oviedo, Spain;0;100;0;4;0
ivanmarban;Asturias, Spain;5;96;5;3;0
dgsuarez;Oviedo;13;91;20;4;0
fiam;Gijón;42;83;159;2;0
masalinas;Gijón, Asturias (Spain);1;71;1;3;0
kanor1306;Asturias, Spain;3;71;0;3;0
sergius02;Asturias, Spain;4;70;0;4;0
tunelko;Asturias;20;64;35;2;0
morvader;Gijón, Asturias;1;63;1;5;0
rubcuevas;Asturias, Spain;8;62;0;4;0
noeFernandez;Asturias, Spain;9;61;3;5;0
dani-garcia;Oviedo, Asturias, Spain;5;55;0;3;0
mac-manu;Gijon, Asturias, España;0;52;0;9;0
SirJ0han;Gijón;6;48;0;4;0
mizhal;Gijón, Asturias;3;47;0;4;0
PabloFernandezRodriguez;Oviedo (Asturias, Spain);2;44;0;2;0
marialeyva;Asturies;4;40;0;4;0
alvarodl;Oviedo, Spain;0;37;0;4;0
franciscomarinas;Gijón, Asturias, España;1;37;0;6;0
havelinux;Oviedo, Asturias, Spain;5;36;0;2;0
ordas;Oviedo;0;35;0;3;0
egallart;Oviedo, Spain;0;34;0;1;0
hackingchips;Asturias - Spain;0;34;1;5;0
PatriRor;Asturias - Spain;7;32;0;5;0
zapic0;Oviedo, Asturias;8;32;0;3;0
Manri98;Gijón 127.0.0.1;2;32;0;2;0
eduardosm;Oviedo, Asturias, Spain;1;30;0;4;0
AmableJ;Oviedo;4;29;0;3;0
albertofernandezvillan;Gijón;3;29;0;3;0
alvaropanizo;Oviedo;7;28;0;3;0
herminiogg;Oviedo, Asturias, Spain;7;27;0;3;0
vifergonza;Asturias (Spain);0;27;2;4;0
vicrodri;Asturias, España;0;24;0;3;0
JaviIG;Asturias;2;24;0;3;3
juanmb;Gijón, Spain;1;22;1;2;0
andreimanu;Oviedo, Spain;2;22;0;4;0
jlcorra;Asturias, Spain;3;21;0;3;0
CesarAsturias;Oviedo;0;21;0;2;0
JairoLopez;Mieres, Asturias;2;21;0;2;0
sergiocollado;Gijón;0;20;1;3;0
fjgilgala;Gijón;1;19;0;2;0
LuisMurias;Oviedo(Asturias), Spain;0;19;2;3;0
robertene1994;Oviedo, España;4;19;0;2;0
pandiello;Gijón Spain;0;19;0;3;0
Darnier;Asturias;3;18;0;2;0
SergioFair;Piedrasblancas, Asturias;0;18;0;5;0
varomorf;Gijón, Asturias, Spain;4;17;2;3;0
DaniSagan;Oviedo, Spain;0;17;4;2;0
Chamadoira;Oviedo;1;16;0;2;0
davidgg;Oviedo, Spain;9;16;1;1;0
sankosk;Asturias;6;16;1;2;0
hectorromo;Gijón;4;15;0;1;0
danibuiza;frankfurt / oviedo;2;15;2;1;0
Gelu74;Gijón - Asturias - Spain;1;14;1;3;0
entrepixels;Pola de Siero, Asturias;0;13;1;2;0
softastur;Asturies;0;12;0;2;0
RaulGF92;Candás-Asturias;0;11;0;2;0
solunaIT;Oviedo, Asturias;0;11;0;1;0
alperi89;Gijón, Asturias, España;5;11;0;4;0
reciomario;Asturias;2;11;0;2;0
LEstefano;Asturias - Spain;0;10;0;2;0
rastmails;Gijón, Asturias, Spain;5;10;2;2;0
mjeronimoa;Gijón;0;10;0;2;0
AlejandroJL;Asturias (Spain);29;9;1;1;0
patriciagao;Gijón · Madrid;16;9;0;1;0
flabernardez;Gijón (Spain);0;8;0;2;0
BorjaCM;España, Asturias, Oviedo;0;8;0;2;0
yoye0z7;Asturias;0;8;1;1;0
Michi05;Mieres;1;8;1;1;0
manuel-alvarez;Gijón, España;0;7;4;1;0
guillelo11;Gijón, Asturias;0;7;0;1;0
Pablo-Casia;Asturias;5;7;0;2;0
NachoAmigo;Asturias, Spain;0;7;0;1;0
juanuniovi;Gijón, Asturias, Spain;0;7;0;2;0
davidvg;Gijón, Spain;0;7;0;1;0
astur4;Oviedo, Asturias;1;6;1;1;0
dmallo;Gijón;0;6;0;2;0
afsuarez;Oviedo, Asturias;0;6;10;1;0
bdiez;Asturias;1;6;0;1;0
chrismilleresp;Oviedo;2;5;0;1;0
ginfante;Asturias, Spain;1;5;0;1;0
valdes86;Gijón/Xixón;0;5;0;1;0
javinr;Langreo, Asturias, Spain;0;5;0;1;0
robertorobles;Gijón, Spain;15;4;26;1;0
afmurias;Asturias;0;4;0;1;0
ayoze;Asturies, Spain;2;4;0;1;0
sinspiral;Aviles (Asturias), Spain;2;4;4;1;0
JaimePerez89;Gijón, Asturias, Spain;0;4;0;1;0
alwaro;Asturias;0;4;1;1;0
crispelayo;Asturias - España;3;4;0;1;0
Frandi1313;Asturias;3;4;0;2;0
laurafg;Asturias / Barcelona;0;4;0;1;0
luisamor;Asturias;1;3;0;1;0
objetivocreativo;Gijón (Asturias) España;0;3;1;1;0
cartoocm;Lugo de Llanera, Asturias. Spain;1;3;0;1;0
Jonatanmdez;Asturias;0;2;0;1;0
noelmf;Oviedo;3;2;1;1;0
daviceitor;Asturias;3;2;0;1;0
NTCreativas;Oviedo, Asturias, Spain;1;2;0;1;0
RocioRamos;Asturias, Spain;0;2;0;1;0
BrunoLopezGarcia;Oviedo, Asturias, Spain;4;2;2;1;0
deimian86;Avilés, Asturias;1;2;0;1;0
christiantravelling;Asturias, Spain;0;2;0;1;0
Vivanr;asturias;1;2;0;1;0
neophox;Asturias, Spain;0;1;0;1;0
ASPalacio;Oviedo, Spain;0;1;0;1;0
zapiko;Asturias;7;1;2;1;0
demil133;Gijón, Spain;14;1;3;1;0
danielmeralopez;Oviedo;0;1;0;1;0
o1dskoo1;Xixón/Gijón;1;1;0;1;0
rhugo;Gijón, Asturias, Spain;0;1;0;1;0
theruls;Oviedo, Spain;0;1;0;1;0
macvilla;Spain - Asturias;0;1;0;1;0
Cuelebre;Gijón;0;1;0;1;0
kunhavigi;Oviedo, Spain;0;1;0;1;0
