login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
adobo;Badajoz, Spain;24;218;205;12;0
jormaral;(Badajoz), Spain;19;95;19;4;0
EduardoRT;Mérida;11;78;2;8;0
jesusAlbarregas;Mérida;0;76;0;2;0
MiguelHidalgo1991;Almendralejo;3;70;0;5;0
manumora;Mérida, Spain;0;66;6;5;0
rubenbr85;Badajoz;0;64;0;1;0
pgilfernandez;Badajoz, Spain;0;53;4;2;0
jgalvezalegre;Badajoz, Spain;0;47;0;2;0
sergiocasero;Badajoz;5;45;48;5;0
manolodd;(Badajoz) Spain;2;41;6;2;0
afrasilv;Cáceres/Badajoz (Extremadura) - Spain;1;35;0;2;0
Javier-varez;Badajoz, Spain;4;34;3;2;0
davidcamaleon;Don Benito (Badajoz);0;28;0;3;0
jredrejo;Mérida - Spain;8;25;8;1;0
alonsoir;Badajoz, Spain;9;23;4;2;0
acaso;Mérida, Badajoz, Spain;1;23;0;2;0
Huaypitufo;Mérida;0;20;0;2;0
Dlozanof;Badajoz, Spain;1;10;0;1;0
jmacollado;Mérida;0;10;0;1;0
garciacarmonaam;Quintana de la Serena, Badajoz, Spain;1;8;0;1;0
DavidWolfgang;Spain, Almendralejo (Badajoz);0;8;1;2;0
marbaez;Badajoz;1;5;0;1;0
rstark1;Mérida;0;4;0;1;0
albertocabello;Badajoz, Spain;0;3;0;1;0
fablabmerida;Mérida;0;3;0;1;0
emmanuelvazc;Mérida;0;3;0;1;0
Ldiab;Mérida, Spain;1;3;0;1;0
Saavento;Mérida;0;2;0;1;0
branigan;Almendralejo;1;2;3;1;0
RobertoRodriguezGuerrero;Badajoz;0;2;0;1;0
PabloCarmona;Badajoz, Spain;0;2;0;1;0
fjcasasaltas;Badajoz, EX, Spain;0;1;0;1;0
sebastian041965;Badajoz;1;1;10;1;0
espantaperros;calle Pontezuelas, 22 - 06800 Mérida (Badajoz) - España;0;1;0;1;0
javerage;Mérida;0;1;0;1;0
davidvalverde;Badajoz;1;1;0;1;0
achojoao;Badajoz, Spain;0;1;0;1;0
raultm;Almendralejo;25;1;7;1;0
titlani87;Mérida;0;1;0;1;0
