login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
kitanibaladmin;Ctra. Valldemossa, Km. 7,4. Centre Empresarial Son Espanyol C/ Laura Bassi 07121 (Parc Bit) - Palma de Mallorca;0;1785;0;5;0
e0ipso;Ca'n Picafort, Mallorca, Spain;50;1205;125;12;0
Pinkii-;Barcelona, Ibiza;18;522;4;25;0
gallir;Palma de Mallorca, Spain;164;517;208;34;0
rebost;Mallorca / Madrid;3;476;3;12;0
carmichaelalonso;Mallorca, Spain;13;421;2;20;0
fernandoPalaciosGit;Palma de Mallorca;7;325;11;9;0
GNURub;España, Ibiza;11;309;14;7;0
joanhey;Mallorca, España;20;301;18;7;2
voylinux;Mallorca (Spain);54;254;11;8;3
marctc;Palma, Mallorca;23;176;5;4;0
gsabater;Mallorca, Spain;4;171;10;9;0
emiliofidalgo;Palma de Mallorca;5;159;4;5;0
MikyKuroneko;Mallorca, Spain;3;156;0;3;0
plnegre;Palma de Mallorca (Spain);9;153;0;5;0
eduherraiz;Mallorca, Spain;14;152;2;5;0
tonydspaniard;Mallorca, Spain;241;152;291;5;0
miquelmassot;Palma de Mallorca;14;144;13;3;2
R12Leal;Mallorca - Illes Balears;3;140;0;4;0
jordisoler;Sa Pobla, Mallorca;0;138;0;6;0
CarlosTenorio;Palma de Mallorca;3;135;0;6;0
kitesurf;Alcudia, Mallorca, Spain;0;134;0;3;0
popara;Ibiza, Spain;3;126;2;6;0
dobleme;Mallorca;10;117;3;8;0
melchor629;Palma de Mallorca, Spain;9;114;11;4;0
M4riacg;Palma de mallorca;2;113;0;3;0
ssoto;Palma de Mallorca (Spain);19;107;0;8;0
xpallicer;Ciutadella de Menorca;3;104;0;3;0
tmas0;Mallorca;4;102;8;6;0
arturoarevalo;Palma de Mallorca;0;98;4;5;0
matsumurae;Mallorca, Spain;0;97;1;6;0
jordillull;Palma de Mallorca;18;89;10;5;0
bielfrontera;Inca, Mallorca;11;86;3;2;0
gabrielperezs;Palma de Mallorca;4;83;5;3;0
OldGordon;Palma de Mallorca;0;72;0;3;0
JoanMartin;Palma de Mallorca;4;69;1;5;0
guillemp;Menorca;8;63;7;3;0
codiblau;Mallorca;18;62;2;2;0
Senen;Palma de Mallorca. Spain;7;59;0;3;0
enricenrich;Menorca, Spain;11;59;21;3;0
carvilsi;Bunyola, Mallorca, Spain;8;57;3;3;0
xguaita;Mallorca. Spain;1;56;5;9;0
cladera;Mallorca;10;56;78;2;0
jdavidhermoso;Mallorca;3;55;0;5;0
cranca;Menorca - Spain;1;55;2;3;0
kesar;Palma de Mallorca, Spain;23;55;37;1;0
sastred;Mallorca (Spain);13;53;1;4;0
cjrequena;Palma de Mallorca;0;51;0;3;0
rperello;Palma de Mallorca;1;49;13;2;0
mtbtiago;Menorca and Barcelona;10;47;0;3;0
ipalbeniz;Palma de Mallorca;2;46;4;5;0
angel9484;Palma de Mallorca;2;44;1;2;0
kevohagan;Palma de Mallorca, Spain;41;42;92;2;0
gdeignacio;Palma de Mallorca;1;40;0;5;4
Syhids;Palma de Mallorca;5;39;0;3;0
hmorv;Palma de Mallorca;1;39;1;3;0
alearnaiz;Palma de Mallorca;7;38;6;2;0
andreuramos;Palma de Mallorca, Spain;2;37;2;9;0
paurullan;Palma, Majorca, Spain;9;35;4;2;0
Kikikot;Palma de Mallorca;1;35;0;3;0
gbrian;Palma de Mallorca, Spain;2;34;0;4;0
tondy67;Palma de Mallorca;1;33;3;3;0
hhugu;Mallorca, Spain;2;32;0;3;0
emiliotorrens;Palma de Mallorca;7;30;18;3;0
mateusan;Manacor, Illes Balears, España;4;28;0;3;0
MbSaku;Mallorca;1;27;0;3;0
bercab;Palma de Mallorca;11;26;2;1;0
jrgcubano;Palma de Mallorca, Spain;39;26;90;1;0
albertm360;Palma de Mallorca;0;26;0;2;0
MarcelReig;Menorca;1;24;0;5;0
JesusAlgora;Palma de Mallorca, Balearic Islands, Spain;0;24;0;2;0
rafelsanso;Palma de Mallorca;2;23;4;1;0
Howarto;Ibiza, Islas Baleares, España;2;23;0;2;0
RaulWhite;Palma de Mallorca, Spain;3;22;0;2;0
jero-rodriguez;Palma de Mallorca;0;22;0;2;0
biringanya;Mallorca;0;21;1;2;0
danielzzz;palma de mallorca, spain;11;21;64;1;0
regniblod;Mallorca;6;21;1;2;0
miqfrontera;Sóller, Mallorca;2;20;1;1;0
fblamanna;Palma de Mallorca, Spain;3;20;1;4;0
mito150;Mallorca;1;20;0;2;0
guillermomuntaner;Mallorca, Spain;15;19;247;2;0
TomFrearson;Ibiza, Spain;2;19;0;1;0
Xiscollado;Palma de Mallorca;6;19;7;2;0
xmltravelgate;Mallorca, Spain;0;18;0;2;0
aganglada;Palma de Mallorca;13;18;1;3;0
javmot;Mallorca, Spain;4;17;0;4;0
raistling;Palma de Mallorca;0;17;0;1;0
Brok3r;Palma de Mallorca;7;17;2;2;0
joanpau;Mallorca;6;16;1;1;0
RicardoRB;España - Palma de Mallorca;2;16;5;1;0
DarioIriberri;Palma de Mallorca;0;15;2;1;0
PauMariAndreu;MENORCA;0;15;0;3;0
AngelGuerreroCastells;Cl Aragon 67 2º 4ª 07800 Ibiza (Baleares) - SPAIN;0;14;0;2;0
fransimo;Palma de Mallorca;2;14;1;3;0
50uth;Mallorca;0;14;0;3;0
avallbona;Mallorca;8;13;1;2;0
JosePascual;Palma de Mallorca;0;13;0;1;0
playmono;Palma de Mallorca;2;13;2;1;0
moritz-wundke;Palma de Mallorca (Spain);24;12;37;2;0
ianholing;Palma de Mallorca;3;12;3;3;0
Zemorac;Palma de Mallorca, Spain;0;11;0;1;0
Konamiman;Palma de Mallorca, Spain;2;11;0;1;0
moein;Palma de Mallorca;5;10;3;3;0
gservera;Palma, Illes Balears;4;10;157;1;0
jojacafe;Inca, Mallorca, Islas Baleares, España;1;10;0;3;0
Ruskab;Palma de Mallorca;1;9;0;1;0
Toni314;Menorca;3;9;0;1;0
abenit;Mallorca, Spain;0;9;1;2;0
Telemakhos;Ibiza, Spain;3;9;0;1;0
PalmaSolutions;Mallorca;1;8;0;1;0
pvilas;Eivissa Ibiza (Spain);0;8;0;2;0
witigo;Palma de Mallorca;0;8;0;1;0
xescpereta;palma de mallorca;3;8;2;3;0
tetrahydra;Ibiza, Baleares, Spain;0;6;0;1;0
AKIRAWR;Palma de Mallorca;1;6;1;1;0
cedricduffournet;Palma de Mallorca;0;6;0;2;0
ikhuerta;Ibiza & Mallorca, Spain;1;5;2;1;0
josenava;Palma de Mallorca;5;5;1;1;0
mateuo;palma de mallorca;0;5;0;1;0
eleazan;Ibiza;5;4;2;1;0
canjaume;Mallorca;0;4;0;1;0
keiris;Palma de Mallorca;0;4;0;1;0
morenosan;Mallorca;11;4;1;1;0
alexcarbajo;Palma de Mallorca;1;4;0;1;0
miquelgt;Palma de Mallorca;0;4;0;1;0
thomeu;Palma de Mallorca;2;4;0;1;0
bultack;Mallorca, Spain;6;4;0;1;0
majurca;Palma de Mallorca;0;3;1;1;0
Stefan39;Mallorca / Calvia;0;3;3;1;0
pmayol;Baleares;0;3;0;1;0
Truthkey;Ibiza, Spain;3;3;2;1;0
kuratowsky;Santa Maria del camí, Mallorca;7;3;1;1;0
juliansotoca;Mallorca;0;3;0;1;0
AdrianAlcGon;Palma of Majorca :D;1;3;0;1;0
raulquintana;Menorca;1;3;0;2;0
hotelbeds-sdk;Palma de Mallorca, Spain;20;3;10;1;0
grojasv;Mallorca;6;2;0;1;0
ramonchu;Palma de Mallorca;1;2;5;1;0
JoseBR;Palma de Mallorca;3;2;0;1;0
Cicor;Formentera;0;2;0;1;0
masterdreams;Palma de Mallorca;3;2;0;1;0
JaniceRand;Palma de Mallorca;0;2;0;1;0
pmkto;Palma de Mallorca;0;2;0;1;0
egarciae;Palma de Mallorca;0;2;0;1;0
xavieroliva;Palma de Mallorca;0;2;0;2;0
xusy2k;Mallorca;9;2;0;1;0
porketero;Illes Balears, Spain;2;2;2;1;0
aiglesiaspmi;Palma de Mallorca;0;2;0;1;0
Devilsoad;Mallorca;1;2;1;2;0
pepverd;Shenzhen MexDF Mallorca;0;2;0;1;0
miguel-moya;Palma de Mallorca;0;2;0;1;0
airsynth;Mallorca, Spain;1;1;0;1;0
RadienZ;Palma de Mallorca;1;1;0;1;0
wayann;Ibiza;6;1;9;1;0
kamalyon;Mallorca, Spain;0;1;0;1;0
marc-ferrer;Mallorca;6;1;7;1;0
jaicompdeveloper;Mallorca;0;1;0;1;0
rafa3d;Ibiza;1;1;2;1;0
jsolivellase;Palma de Mallorca;6;1;0;1;0
joanfgarcia;Mallorca (Spain);0;1;0;1;0
incaib;Mallorca, Inca Islas Baleares España;4;1;1;1;0
franm;Ibiza;9;1;0;1;0
sardinax;Palma de Mallorca, Spain;1;1;0;1;0
bzzoiro;Mallorca, Spain;0;1;0;1;0
edkennard;Ibiza, Spain;4;1;0;1;0
jsabater;Palma de Mallorca, Balearic Islands, Spain;1;1;0;1;0
jfllado;Mallorca;9;1;0;1;0
carlitosmarin;Palma de Mallorca;3;1;6;1;0
isildurfuentes;Llucmajor. Mallorca;0;1;0;1;0
zeent;Marratxí, Illes Balears;1;1;0;1;0
