login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
mmoreram;Barcelona, Spain;130;6995;509;24;0
gavinking;Barcelona, Spain;135;3908;6;59;44
rnowm;Sitges, Barcelona;47;3791;29;13;0
mvdan;Barcelona;44;3042;222;68;0
leplatrem;Barcelona, Spain;74;2966;109;17;5
gentlecat;Barcelona;21;1918;47;19;0
opalenzuela;Barcelona;17;1770;67;19;0
aleixpol;Barcelona;8;1761;1;12;2
vHanda;Barcelona, Spain;14;1731;2;16;0
jaeandersson;Barcelona, Spain;8;1657;7;21;2
nilopc;Barcelona, Catalunya;34;1528;16;11;8
h0tbird;Barcelona;12;1504;24;13;0
christkv;Barcelona, Spain;280;1404;853;12;0
xphere;Barcelona, Spain;31;1393;8;9;0
karasu;Barcelona, Catalunya;26;1361;9;33;0
trikitrok;Barcelona;22;1325;29;16;10
alorma;Barcelona, Spain;90;1298;80;23;0
JoanClaret;Barcelona;17;1296;102;24;0
alxndrsn;Barcelona;28;1263;74;13;0
uesteibar;Barcelona;31;1256;11;20;0
tonipinel;Barcelona;12;1233;2;9;0
blaiprat;London & Barcelona;12;1187;79;6;0
areski;Barcelona;112;1183;913;33;0
neo22s;Barcelona;24;1130;10;13;0
toniher;Barcelona, Catalonia;11;1120;5;12;0
k0gaMSX;Barcelona (Spain);1;1114;3;11;0
pditommaso;Barcelona, Spain;28;1103;72;15;6
dialelo;Barcelona;174;1072;525;18;0
ctubio;Barcelona, Catalonia;2;988;4;34;0
rogergros;Barcelona, Spain;12;987;0;19;0
sneridagh;Barcelona;14;974;60;12;3
clintongormley;Barcelona, Spain;193;954;95;13;0
dasilvacontin;Barcelona, Spain;87;949;37;28;2
danielguillan;Barcelona;45;942;670;12;0
alvaroabascar;Barcelona;11;895;5;13;2
ferranvila;Barcelona;2;857;0;5;0
ichinaski;Barcelona;7;854;49;13;0
xispa;Barcelona;15;782;0;8;2
msune;Barcelona / US;4;775;5;6;0
mayhem;Barcelona, Spain;44;768;27;18;0
sephirot47;Barcelona, Spain;11;764;30;43;0
xexiu;Barcelona;8;762;2;13;0
freecates;Barcelona;0;759;0;12;0
plungerman;Barcelona;1;753;0;8;7
sennett;Barcelona;8;746;3;22;0
Pafcholini;Barcelona;8;743;3;7;0
pplu;Barcelona;21;723;63;6;5
romartin;Barcelona;5;686;1;26;0
ruben1;Barcelona ☼;63;673;23;31;0
ManfredKarrer;Barcelona, Spain;8;671;8;30;0
alastair;Barcelona;80;661;250;7;0
carlosjoserg;Barcelona, ES ⇄ Pisa, IT;9;648;1;10;0
salvadorgascon;Barcelona;2;637;0;20;0
srvaroa;Barcelona;17;629;3;12;0
PatrickHeneise;Barcelona, Spain;38;627;228;8;0
hiromipaw;Barcelona, Spain;21;624;5;6;0
josepllberral;Barcelona;2;590;0;5;0
markbain;Barcelona, Spain;10;584;1;4;0
lordofthejars;Barcelona;47;579;273;9;0
Pinkii-;Barcelona, Ibiza;13;572;3;25;2
adrian-rosello;Barcelona;8;569;2;6;0
emi80;Barcelona;7;568;2;5;0
beeman;Barcelona, Spain;61;568;698;8;0
unamaria;Austin / Barcelona;19;568;0;12;0
rpau;Barcelona;15;564;88;6;0
lluisgerard;Mataro, Barcelona;15;555;9;5;0
rubiojr;Barcelona, Spain;116;541;464;10;0
rubencaro;Barcelona;6;539;57;10;0
mikz;Barcelona, Spain;29;527;154;6;0
NadirZenith;Barcelona;5;520;0;7;0
toniginard;Barcelona;2;516;0;6;0
xaviml;Barcelona;11;514;7;10;0
victorcoder;Barcelona;49;513;657;10;0
nacx;Barcelona;34;509;20;13;0
edugrasa;Barcelona;6;509;1;6;0
duarten;Barcelona;27;500;17;6;0
xavier-fernandez;Barcelona, Spain;2;499;1;54;0
kaitokidi;Barcelona;13;493;9;6;3
PauCodina;Barcelona;1;490;0;5;0
SMV818VMS;Barcelona, Spain;6;489;2;15;0
jbatalle;Barcelona;2;484;0;10;0
albarralnunez;Barcelona;14;481;1;10;0
iariasleon;Barcelona;0;477;0;5;0
lbergesio;Barcelona;1;475;1;6;0
tamarart;Barcelona;5;470;0;13;0
jondeandres;Barcelona;30;468;16;5;2
CKGrafico;Barcelona;84;462;161;6;0
