login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
benatespina;Santurtzi, Basque Country;15;2373;14;16;0
porduna;Bilbao;39;1245;3;44;44
soyjavi;Bilbao ✈︎ Chiang Mai ✈︎ London;785;1176;895;99;0
gorkalaucirica;Bilbao;8;1084;65;9;0
Razican;Bilbao, Spain;24;1026;11;20;0
ibc;Bilbao & Madrid;66;906;146;22;0
7flying;Bilbao;3;636;1;68;0
jonan;Bilbao, Spain;44;503;90;28;0
edlectrico;Bilbao (Spain);17;443;6;6;0
juanmanuelsanchez;Leioa, Vizcaya;0;400;0;7;0
erichlf;Bilbao, Basque Country -- Spain;6;374;1;12;0
MikelS;Getxo;3;338;0;5;0
javray;Spain, Bilbao;1;329;6;6;0
cat2608;Bilbao;43;294;5;9;0
haas85;Bilbao;11;250;19;9;0
anderipartek;Bilbao;13;243;1;5;0
memaldi;Barakaldo;19;240;13;5;0
rsleno;Bilbao, Spain;5;232;0;6;0
Josebaseba;Bilbao;29;231;31;10;0
endSly;Bilbao, Spain;23;186;249;5;0
mikel-egana-aranguren;Bilbo;13;182;7;8;0
jonlatorre;Bilbao;0;169;6;4;0
ddniel16;Bilbao;0;145;0;3;2
JorgeNieto;Leioa;0;127;0;8;0
cmoro-deusto;Bilbao;11;119;7;3;0
aberigle;Barakaldo;19;109;28;5;0
tomasmax;Bilbao;11;105;12;4;0
naveda89;Bilbao, Spain;24;105;6;6;0
ZenekeZene;Bilbao, Vizcaya, Spain;0;101;4;3;0
Falc;Bilbao, Spain;18;99;37;5;0
jabesga;Bilbao, ES;1;98;0;5;0
karliky;Bilbao;58;98;38;5;0
BBerastegui;Bilbao - Barcelona - Anywhere;6;92;1;5;0
jonarrien;Portugalete;14;89;1;4;0
DaniSancas;Bilbao, Spain;7;89;0;3;0
jabiinfante;Bilbao;8;86;2;5;0
RubenBRR;Bilbao - Spain;0;82;0;3;0
H0R5E;Bilbao;0;79;0;4;0
gexplorer;Bilbao;1;78;1;2;0
aitoralmeida;Bilbao;15;78;14;4;0
jontorrado;Bilbao, Spain;5;77;0;3;0
txapelgorri;Bilbao;2;77;0;4;0
Ondiz;Bilbao (Spain);0;74;0;5;0
MikelDelTio;Bilbao;0;69;5;6;0
b1-66er;Bilbao;0;65;0;3;0
hanbzu;Bilbao;2;63;3;3;0
raul-arrieta;Bilbao ≜ Lekitto;0;62;0;3;0
ornitorrincos;Bilbao;2;61;16;4;0
JAT91011;Barakaldo, Vizcaya, Spain;1;58;0;5;0
Nahikariii;Bilbao, Bizkaia;5;58;2;5;0
vssnake;Santurtzi;2;58;1;4;0
ekaitz-zarraga;Bilbao (Spain);0;56;0;4;0
lingo;Granada, Spain.  Previously in Brighton, UK, Bilbao, Euskadi / España, Chiapas, México and New Zealand;16;55;82;6;0
uorbe001;Bilbao, Bizkaia;10;49;26;2;0
devcfgc;Bilbao;1;49;1;2;0
malkiah;Bilbao;1;48;1;4;0
deadsunrise;Bilbao, Spain;1;45;68;1;0
andersagarduy;Bilbao;8;45;0;5;0
pittuxx;Bilbao;0;44;0;4;0
Imanolea;Bilbao;4;42;0;3;0
bamsbamx;Bilbao;2;42;24;5;0
yuki;Bilbao;5;38;13;7;0
txusinho;Bilbao, center of the known universe;7;38;5;4;0
Queky;Bilbao, Spain;3;38;0;7;0
JPG-Consulting;Bilbao, Spain;0;37;1;3;0
Elpayoquedibuja;Bilbao;0;37;2;4;0
andoni-eguiluz;Bilbao;19;36;4;3;0
jaimehrubiks;Bilbao, Spain;1;34;2;4;0
ibannieto;Bilbao, Basque Country;11;32;2;2;0
AritzaSm;Barakaldo;0;32;1;2;0
Quest10;Bilbao, Basque Country -- Spain;1;31;0;8;0
Cortadai;Santurtzi (Vizcaya);0;31;0;2;0
berganza;Bilbao;97;30;110;2;0
unaguil;Bilbao;16;29;12;2;0
estraviz;Bilbao, Spain;4;28;1;2;0
f3rguz;Bilbao;0;28;0;2;0
irenenovo;Bilbao;4;28;1;3;0
basoko;Bilbao, Spain;12;28;1;2;0
internetmosquito;Bilbao;2;28;2;2;0
artberri;Barakaldo;66;27;90;4;0
AnderPijoan;Bilbao;11;26;34;2;0
asiermarques;Barakaldo, Vizcaya, España;67;25;47;4;0
gechevarria;Bilbao;0;24;0;2;0
Erly;Santurtzi, Spain;1;24;9;2;0
AitorAlejandro;Bilbao;4;23;0;3;0
joruiz;Bilbao;24;22;4;3;0
xaaleja;Santurtzi (Bizkaia);2;21;0;2;0
m1k3lm;Bilbao;3;21;6;3;0
Txotxopue;Bilbao;2;20;0;6;0
lukasmonk;Portugalete-Spain;1;20;17;2;2
eneko89;Bilbao, Vizcaya;13;19;13;2;0
Eggop92;Bilbao;1;19;0;1;0
koldohernandez;Bilbao;1;18;1;2;0
marcosfeijoo;Bilbao, Spain;0;17;0;1;0
TxusLopez;Bilbao (Spain);0;16;0;1;0
jacoobs;Bilbao, Pais Vasco;0;16;0;1;0
Laffite-Buffon;Leioa, Bizkaia, Spain;0;16;0;2;0
eloygbm;Bilbao;11;16;0;2;0
anderpg;Bilbao;0;15;0;1;0
spolex;Derio, Bizkaia, Euskal Herria;3;15;0;1;0
fernandiez;Bilbao;3;14;1;1;0
oggers;Bilbao - Spain;1;13;1;3;0
nirekin;Bilbao, Spain;0;13;0;4;0
etxahun;Getxo - Bizkaia;0;12;0;2;0
txistumoto;Las Arenas (Getxo);0;12;0;1;0
jagumiel;Bilbao;0;12;0;2;0
ascalotoru;Bilbao;1;12;2;3;0
TxemaPuente;Bilbao;0;12;0;2;0
Edurnita;Bilbao, Spain;1;11;0;1;0
jarfil;Bilbao, Spain;0;11;1;2;0
zetagor;Bilbao;4;11;1;1;0
JHereu;Bilbao, Spain;0;10;0;2;0
jmarti-theinit;Bilbao;3;10;3;2;0
WeedBilbaoGaming;Bilbao, Euskal Herria;0;10;0;2;0
LuisIba;Bilbao;0;9;0;1;0
ielcoro;Bilbao;4;9;8;2;0
landerog;Erandio, Bizkaia;9;9;0;1;0
RubenAgudo;Bilbao;3;9;3;1;0
izmendi;Bizkaia;0;8;1;1;0
zerjioang;Bilbao;1;8;2;2;0
xpander001;Bilbao / Glasgow;15;8;0;2;0
Facon;Bilbao, Spain;0;8;0;1;0
dbujan;Bilbao;2;8;0;2;0
javierdemartin;Bilbao;0;8;0;2;0
kronosnhz;Bilbao;3;7;0;1;0
taniarv;Bilbao/Spain;2;7;6;1;0
eleektro;Bilbao, Basque Country;0;7;0;1;0
Endika84;Bilbao;0;7;0;3;0
aarmijo;Bilbao;0;7;1;1;0
mobandme;Bilbao;18;7;61;1;0
werfas;Basauri;0;7;0;2;0
borjam;Bilbao, Spain;0;7;0;1;0
MikelAguirreRodrigo;Bº Sarriena s/n, Leioa 48940, Bizkaia, Spain;0;6;0;1;0
shadowfax;Bilbao, Spain;1;6;32;1;0
sergiotosa;Bilbao;0;6;0;1;0
elmer;Nueva Vizcaya, PH;18;6;56;1;0
manwe;Bilbao;17;5;0;1;0
cruzki;Bilbao, Basque Country, Spain;0;5;3;1;0
alvcarmona;Bilbao - Spain;1;5;0;2;0
BorjaSantosZorrozua;Leioa BISCAY (SPAIN);0;5;0;2;0
Mugatik;Bilbao - Spain;0;5;0;1;0
biojazzard;BIlbao;7;5;34;1;0
Aingeru72;Bilbao;0;5;0;1;0
Hoddix;Bilbao;0;4;1;1;0
itxasoespina;Getxo, Vizcaya, Spain;0;4;0;1;0
pacosal;Bilbao;3;4;14;1;0
JavierEscartin;Bilbao (Spain);0;4;0;1;0
iker93;Bilbao;0;4;0;1;0
arkaitzj;Bilbao;6;4;25;1;0
hilgroth;Bilbao;2;4;0;2;0
ipinto;Bilbao, Spain;2;4;0;1;0
asier-laukoa;Bilbao;0;3;0;1;0
guigomez;Bilbao;0;3;0;1;0
SocialSound;Bizkaia;2;3;4;1;0
atekoa;Bilbao;1;3;1;1;0
fralmei;Bilbao;0;3;0;1;0
space-invader;Bilbao, Spain;0;3;0;1;0
iratxepinedo;Bilbao;0;3;0;1;0
glapuente;Barakaldo;0;3;0;1;0
dosdaperez;Barakaldo;0;3;0;1;0
bordemof;Bilbao (Spain);16;3;0;1;0
sperezhoyos;Bilbao (Spain);0;3;0;1;0
bingenortuzar;Bilbao;0;2;0;1;0
dlores;Bilbao;3;2;0;2;0
g0re;Madrid / Bilbao;0;2;0;1;0
borya09;Bilbao;8;2;5;1;0
ldavidsb;Bilbao, Spain;0;2;0;1;0
davidlallana;Bilbao;12;2;0;1;0
GardiHuts;Bilbao;0;2;0;1;0
fjaviernieto;Bilbao;0;2;0;1;0
MrCorrales;Bilbao;0;2;0;1;0
kirikoro;Bilbao;0;2;0;1;0
jpaniagua;Bizkaia, Spain;0;2;0;1;0
thooby;Bilbao;2;2;14;1;0
julicrack;Getxo;0;1;1;1;0
xPret;Bilbao;11;1;4;1;0
easibeacon;Bilbao, Spain;1;1;14;1;0
MENCEY31;Bilbao;0;1;0;1;0
MikelSalazar;Bilbao, Europe;0;1;0;1;0
imashak;Bilbao, Spain;0;1;0;1;0
aholab;Bilbao, Spain;0;1;0;1;0
HAP1969;Bilbao;0;1;0;1;0
igormarkaida;Bilbao;0;1;0;1;0
nagorefrias;Bilbao;1;1;0;1;0
mikelf;Bilbao;0;1;0;1;0
PCADAV;Bilbao;0;1;0;1;0
inakioplus;Bilbao;0;1;0;1;0
yandroskaos;Bilbao;0;1;0;1;0
sulopezperez;Bilbao (Spain);0;1;0;1;0
gblancog;Basauri, Vizcaya, Spain;1;1;0;1;0
nandoquintana;Bilbao, Basque Country, Spain;9;1;0;1;0
vfuentes;Bilbao, Spain;1;1;0;1;0
sharem;Bilbao;21;1;4;1;0
MalkavianBilbao;Bilbao (Spain);0;1;0;1;0
pcuriel;Bilbao;15;1;5;1;0
cpolo;Bilbao;2;1;0;1;0
