login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
RobertoIA;Burgos, Spain;1;260;0;166;0
sl1pkn07;burgos (Spain);1;86;0;2;0
naarean;Burgos, Spain;0;58;1;8;0
zerberros;Burgos, Spain;2;53;0;4;0
rmartico;Burgos;0;15;0;2;0
clopezno;Burgos;0;14;1;1;0
turtulino;Burgos, Spain;1;11;1;1;0
sabadow;Burgos, Spain;3;8;0;1;0
Al-Waseem;Burgos;1;6;0;1;0
pacocardenal;Burgos;5;6;0;1;0
icruzado;Burgos or Valladolid, Spain;0;4;1;2;0
kAlvaro;Burgos, Spain;0;4;0;1;0
rafcano;Aranda de Duero, Burgos, Spain;1;2;0;1;0
Zarpen;Burgos;0;2;1;1;0
