login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
carloslozano;Sant Cugat del Vallès, Catalonia;15;2470;1;6;0
nilopc;Barcelona, Catalunya;32;1494;16;11;0
karasu;Barcelona, Catalunya;25;1449;9;33;0
mssola;Piera, Catalunya;12;1279;148;10;2
toniher;Barcelona, Catalonia;10;1132;3;12;0
ctubio;Barcelona, Catalonia;1;988;4;34;0
josepramon;Catalunya;1;960;0;13;0
MortI2C;Barcelona, Catalunya;3;593;0;12;2
lluis;Vilafranca del Penedès, Catalunya;4;584;28;5;2
bloodbare;Manresa, Catalunya;11;579;7;7;0
xerpi;Catalonia (Spain);44;497;156;11;0
griba2001;Tiana (near Barcelona) Catalonia - Spain;0;416;1;11;0
aviscasillas;Mataró, Catalonia, Spain;5;392;2;6;0
oscarmolinadev;Barcelona, Catalonia;3;383;7;68;0
aldomann;Catalonia;3;302;10;6;0
oscar-raig;Barcelona, Catalonia;0;297;3;5;2
joansola;Barcelona - Catalonia;1;280;2;9;0
VictorBjelkholm;Barcelona, Catalunya;73;263;10;5;0
RogerOlasz;Catalunya;4;238;0;5;0
broucz;Barcelona, Catalonia;3;223;89;5;3
templix;Figueres(Catalunya,Spain);0;215;1;7;0
dakota14;catalonia;2;211;0;11;0
GMadorell;Catalonia;3;200;7;11;3
mikaku;Catalonia;10;182;310;5;0
wuyingren;Catalunya;2;176;4;7;0
Legolasindar;Catalunya;2;176;0;3;0
mezod;Barcelona, Catalonia;9;169;28;7;3
corretge;Verges, Catalonia;12;158;79;2;0
facundofarias;Barcelona, Catalunya;34;157;21;3;0
itorres;Catalunya;17;150;4;64;0
didacog;Catalonia;3;149;0;3;0
freyfogle;Barcelona, Catalonia, Spain;7;146;1;7;0
melviso;Barcelona, Catalunya, Spain, Earth, Outlying solar system of milky way;0;143;0;9;4
rfguri;Barcelona, Catalunya;16;126;24;4;0
slanau;Barcelona, Catalonia, Spain;6;122;0;4;0
albertsegura;Catalunya;1;120;6;3;0
TheArni;Vic, Catalonia, Spain;0;117;0;9;0
pipcat;Catalonia;2;114;1;4;0
evili;Catalonia;0;96;1;7;0
plastikaweb;Catalonia;1;94;6;4;0
svilaa;Lleida, Catalonia, Spain;3;85;1;10;0
jtorrents;Barcelona (Catalonia);7;82;2;8;0
kborrell;Lleida, Catalonia (Spain);1;81;0;10;0
