login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
shakaran;Manzanares, Ciudad Real, España;20;996;34;13;0
jaoo;Piedrabuena. Ciudad Real. Spain;7;562;12;6;0
magmax;Ciudad Real;28;518;81;12;0
danguita;Ciudad Real, Spain;24;118;17;2;0
davidvilla;Ciudad Real (Spain);8;111;14;3;0
j2sg;Ciudad Real, Spain;2;105;7;11;0
magfernandez;Valdepeñas, Spain;0;75;0;11;0
vroman;Ciudad Real;5;54;0;2;0
soker90;Ciudad Real;1;43;0;5;0
tabad;Manzanares, Ciudad Real, Spain;2;40;0;4;0
agomezgar;Calzada de Calatrava, Ciudad Real;2;34;3;3;0
Cyrivs89;Ciudad Real, Spain;0;24;0;4;0
malaguna;Ciudad Real;0;16;0;3;2
andresmcu;Ciudad Real;1;7;0;1;0
cesvlc;Manzanares, Spain;0;4;0;1;0
Chetox;Ciudad Real;5;3;0;1;0
mayoral;Ciudad Real, Spain;21;3;8;1;0
juanluseres;Ciudad Real (Spain);0;3;1;1;0
benjasHu;Ciudad Real (Spain);0;2;0;1;0
jotajotavm;Valdepeñas - Ciudad Real (España);2;1;5;1;0
javalderas;Granada / Valdepeñas / Somewhere;0;1;0;1;0
jafs;Abenójar, Ciudad Real, España;1;1;3;1;0
jayllon;Ciudad Real;0;1;0;1;0
