login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
fdansv;Madrid / Santiago de Compostela;18;1177;19;5;0
ctemescw;A Coruña, Spain;10;629;8;27;0
jesusprubio;A Coruña;61;359;139;6;0
inercia;A Coruña, Spain;11;334;20;5;0
pablopunk;Santiago de Compostela;4;333;2;5;0
pablormier;Santiago de Compostela;17;321;7;6;0
jbgutierrez;A Coruña, Galicia, España;10;291;74;51;0
kewelinho;A coruña;2;245;1;5;0
McOmghall;Santiago de Compostela, Galicia;1;219;1;9;0
carlosabalde;A Coruña, Spain;3;211;45;5;0
mmontes11;A Coruña;17;204;14;8;2
adriannovegil;A Coruña;1;180;3;5;0
Beluki;Carballo, A Coruña, Spain;2;176;27;5;0
mandrewcito;A coruña;4;163;0;6;0
JoseBalado;Santiago de Compostela, Spain;0;141;0;5;0
daviddiz;A Coruña;0;128;1;4;0
davidgf;A Coruña;3;126;1;8;0
VictorP;Ferrol;1;125;0;3;0
joedicastro;A Coruña, Spain;77;112;604;5;0
xoan;A Coruña, Spain;42;110;40;3;0
gonzaloiv;Santiago de Compostela;2;108;0;3;0
rubenhortas;Lugo ⊕ A Coruña (Galiza, Spain);7;87;5;3;2
Fynardo;A Coruña;5;86;0;3;0
chavaone;A Coruña, Galiza;18;79;20;2;0
dalareo;A Coruña (Galiza);11;79;1;3;0
rcoedo;A Coruña;4;75;7;3;0
easanles;A Coruña;0;73;0;5;0
victorsndvg;Santiago de Compostela;4;72;15;3;0
lauramcastro;A Coruña, Spain;10;65;8;3;0
ssaavedra;A Coruña, Spain;14;62;10;2;0
edupoch;A Coruña, Spain;5;62;2;2;0
gonzalezsieira;Santiago de Compostela, Spain;5;58;0;4;0
oscarcv;A Coruña;0;58;0;3;0
megalomono;A Coruña;3;56;0;3;0
andresgomezvidal;Santiago de Compostela;1;55;0;2;0
pabloformoso;Oleiros, Coruña (España);21;52;23;4;0
davidfb;A Coruña, Spain;0;50;7;3;0
castrinho8;A Coruña;9;50;2;9;0
rrialq;Santiago de Compostela - La Coruña - Spain;1;49;0;3;0
danidiaz;A Coruña, Spain;11;48;34;2;0
duqueGZ;A Coruña (Galicia, Spain);1;47;0;2;0
clopez;A Coruña;5;45;22;1;0
pazos;Santiago de Compostela, gz;0;43;2;4;0
MarioCordovilla;A Coruña;0;43;0;5;0
calvaris;A Coruña;4;43;0;3;0
