login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
pbustos;Cáceres, SPAIN;6;449;2;5;0
csuarez;Cáceres (Spain);29;222;43;8;0
spaceisstrange;Cáceres, Spain;3;196;3;5;3
jamiebull1;Cáceres, Spain;4;134;0;10;0
oscarcpozas;Cáceres, Spain;36;123;10;4;0
alvar0hurtad0;Cáceres, Spain;10;81;9;4;0
beni0888;Cáceres - Spain;1;66;0;3;0
enreas;Cáceres;1;60;2;4;0
anbarquer;Cáceres;0;44;3;5;0
afrasilv;Cáceres/Badajoz (Extremadura) - Spain;1;35;0;2;0
samu22893;Cáceres, España;3;29;1;2;0
vidaltoboso;CÁCERES;1;28;0;3;0
smartpolitech;Cáceres, SPAIN;0;25;0;3;0
samuelsolis;Cáceres;2;20;0;3;0
robermorales;Cáceres, SPAIN;11;18;19;3;0
fdiazgon;Cáceres;1;13;0;3;3
ivangd97;Cáceres-Spain;4;11;0;2;0
Zevesh;Cáceres, Spain;0;10;0;3;0
fuseprods;Madrid / Cáceres;7;6;1;1;0
Axas;Cáceres, Spain;0;6;0;2;0
robergd;Cáceres, Spain;2;5;1;1;0
javiernuber;Cáceres;1;4;2;1;0
RomeoDeMarco;Cáceres, Spain;0;4;1;1;0
cyxmedia;Cáceres, Spain;2;3;0;1;0
macram;Cáceres;2;3;0;1;0
jcgimfer;Plasencia, Cáceres, Spain;0;2;0;1;0
JPery;Cáceres;0;2;0;1;0
AdolfoLozano;Cáceres. SPAIN;0;2;0;1;0
frieser;Cáceres, Spain;11;2;3;1;0
Viokeoke;Cáceres;1;1;0;1;0
