login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
Foxandxss;Cádiz, Spain;152;1079;1177;149;149
JoseTomasTocino;Cádiz, Spain;26;653;33;213;8
jdesiloniz;Cádiz, Spain;14;588;0;6;0
javipacheco;Cádiz, Spain;148;521;94;7;0
rafaparadela;Cádiz, Spain;38;362;10;6;0
nerviozzo;Chipiona;1;341;0;10;0
mgidney;Jerez;0;339;1;6;0
hopsor;Jerez de la Frontera, Cádiz, ES;5;233;6;7;0
anamariamv;Cádiz, Spain;21;223;0;5;0
TatyPerson;Cádiz;2;190;0;3;0
ricpelo;Sanlúcar de Barrameda (Cádiz);13;179;20;9;2
oldlastman;cádiz;7;143;2;3;0
Adyrhan;Cadiz, Los barrios;12;141;6;6;0
jacintocapote;jerez de la frontera;13;136;0;4;0
luismagr;Jerez de la Frontera, Cádiz, Andalucía, España;12;134;15;7;0
rrgonzalez1992;El Puerto de Santa María;0;132;0;8;0
KevValle;San Fernando, Cádiz;3;125;0;3;0
Galaxy42;Jerez de la Frontera, Andalusia, Spain;8;123;8;4;0
dmolina;Cádiz;3;122;5;3;0
burasu;El Puerto de Santa Maria, Cadiz. Spain;3;112;1;7;0
danmarcab;Cádiz, Spain;2;109;2;5;0
Abrahanfer;Cádiz(Spain);10;101;3;6;0
fjtorres;Sanlúcar de barrameda (España);1;93;0;4;0
franciscodr;Cádiz, Spain;9;92;3;6;0
n0ni0;Chiclana de la Frontera;3;85;0;5;0
Salvaaragon;San Fernando, Cádiz;0;85;0;5;0
dodero;Cádiz;3;73;0;2;0
calvellido;Villamartín (Andalucía);0;71;2;4;0
jmcampmany;Cádiz;3;69;0;3;0
raimundojimenez;Jerez de la Frontera - Cádiz - España (SPAIN);0;68;0;5;0
Gandio;Cádiz Spain;4;62;0;2;0
hamena;Cádiz, Spain;4;62;0;5;0
ignaciofatou;Ubrique;1;60;0;3;0
Corpexin;Algeciras (Cádiz);0;59;0;5;0
JuanMNGA;Chiclana, Cádiz;9;57;1;3;0
drubioa;Puerto Real;0;57;0;4;0
josemiguelmota;Cádiz;1;55;1;2;0
AntonioPerezRivera;Jerez de la Frontera, Cádiz;2;51;0;2;0
ale91rf;Algeciras;1;51;0;5;0
carlosramosgonz;Cádiz, Spain;1;51;0;4;0
crisstosso;Medina Sidonia, Cádiz;0;48;1;3;0
Montagon;Cádiz;16;47;9;3;0
reddevilrau;Cádiz, Spain;8;42;1;3;0
FPerezP;Chiclana de la Frontera;23;38;12;4;0
teritriano;Spain, Jerez;1;37;0;4;0
almome;El Puerto de Santa María, Cádiz;2;37;0;2;0
villamany;Cadiz, Spain;6;36;11;3;0
Darhen89;Jerez de la Frontera;0;35;0;3;0
josemanso;Cádiz;0;33;0;4;0
dacioleal;Cádiz, Spain;5;33;0;3;0
Firenz;Cádiz (Spain);8;33;4;2;0
vengador;Jerez de la Frontera;24;32;1;3;0
jarodriguezg;Tarifa;0;31;0;2;0
creativo;Cadiz;0;30;1;3;0
damenla;Jerez de la Frontera;1;29;0;4;0
fracalcar;Jerez de La Frontera;0;28;0;3;0
Gamxini;Jerez de la Frontera;4;26;0;2;0
nochemax;Cadiz España;1;26;3;2;0
ernestoperinan;Cádiz;1;26;0;2;0
AlbertoCejas;Cádiz;6;22;8;3;0
irfaelo;Cádiz;0;21;0;1;0
efoncubierta;Cádiz;8;19;0;5;0
cmayo;El Puerto de Santa María;0;19;1;2;0
eurodev;Jerez de la Frontera;22;18;11;2;0
jorgegalindocruces;San Fernando, Cadiz, España;40;17;3;2;0
juliancoder;Cádiz (Spain);0;17;0;2;0
JaimeJesusSerrano;Cádiz;1;17;0;3;0
MariaPaniw;Cadiz, Spain;0;15;0;2;0
gabmarfer;Cádiz;1;14;0;1;0
fj-marmol;Algeciras, Spain;0;14;0;3;0
jmmateos;Jerez, Spain;0;13;12;2;0
cyberguijarro;Cádiz, Spain;3;13;17;1;0
pablobacho;Cadiz, Spain;1;13;0;2;0
alvarogonzalezalvarez;Jerez de la Frontera;0;11;3;2;0
davidmb91;Sanlúcar de Barrameda (Cádiz) - Spain;5;9;1;1;0
3oheme;Jerez de la Frontera, Spain;11;9;12;1;0
josergb;Jerez de la Frontera;22;9;7;3;0
eliasdefrancisco;Jerez de la fontera;3;8;3;3;0
Carrega;La Linea (Cadiz);0;8;0;2;0
jlfalcon;Jerez de la frontera;7;8;0;1;0
Jaimerocel96;Cádiz, Spain;1;8;0;1;0
Zomig;Algeciras;0;7;0;3;0
blanca-vela;San Fernando (Cádiz);0;7;0;2;0
luisgarciacarra;Tarifa, Spain;0;6;0;1;0
olihough;Cadiz, Spain;0;6;0;1;0
danramirez;Cádiz (Spain);3;6;23;1;0
GanemosCadiz;Cádiz;0;5;0;2;0
jamontes79;Jerez de la Frontera (Cádiz);0;4;1;1;0
franbueno;Cádiz;0;4;0;2;0
drwaky;Madrid - Jerez de la Frontera;7;4;1;1;0
nessa;Cádiz;8;3;5;1;0
CristianLuis;Algeciras, Spain;0;3;0;1;0
ignaciogs;Cádiz;17;3;6;1;0
lorenzoplanas;Rota, Spain;20;3;24;1;0
danigonlinea;Conil (Cádiz), España;2;2;4;1;0
Guiber00;Jerez de la Frontera;0;2;0;1;0
franquciapubli;Cadiz;0;2;1;1;0
DanijoeyPK;cadiz (España);1;2;0;1;0
rutadaki;Sanlúcar de Barrameda;0;2;0;1;0
Krlinhos;Cádiz;0;2;0;1;0
amitkvint;Vejer de la Frontera, Spain;4;1;5;1;0
Sergiopopoulos;Granada - San Roque;1;1;0;1;0
japarrado;Cádiz;0;1;0;1;0
periflo90;Cádiz, España;0;1;0;1;0
26horas;Cádiz;0;1;0;1;0
DanielLucia;Cádiz;0;1;0;1;0
albatrosfoto;Jerez de la Frontera;0;1;0;1;0
isocalidad;San Roque, Ecuador;0;1;0;1;0
danielnietocaballero;Conil, Cádiz;3;1;0;1;0
tarodann;El Puerto de Santa María;0;1;0;1;0
fldrog;Spain, Cadiz, La Linea;1;1;0;1;0
costap;Tarifa, Spain;0;1;0;1;0
dcasasmol;Puerto Real (Cádiz);2;1;6;1;0
isrart;El Puerto de Santa María (Cádiz);0;1;0;1;0
keldrox;Cadiz;0;1;0;1;0
