login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
leliel12;Cordoba;7;1192;2;12;0
bladecoder;Córdoba, Spain;5;498;49;7;7
loverajoel;Córdoba;15;451;257;14;0
brianstorti;Córdoba, Spain;48;418;138;19;0
daviddetena;Cordoba, Spain;0;407;0;12;0
Talocha;Córdoba - Spanish;0;379;0;6;0
danigm;Córdoba (España);50;337;73;9;2
sergiormb;Córdoba, Spain;10;203;3;6;0
MatiPruvost;Córdoba;2;187;3;3;0
dariopalminio;Córdoba;1;178;3;9;0
alvarosaco;Córdoba (Spain);26;170;15;6;0
aleonalcaide;Córdoba (Spain);3;168;0;7;0
cabrera-dcc;Córdoba (Spain);1;153;0;12;0
pagutierrez;Córdoba, Spain;5;151;0;4;0
javierav;Córdoba, España;23;149;3;4;0
victor1995mv;Córdoba, Spain;15;126;0;2;0
dongrego89;Córdoba;13;124;0;4;0
sigdeletras;Córdoba (spain);10;120;14;3;0
diblex;Cordoba Spain;6;115;0;4;0
javism;Córdoba, Spain;28;100;4;4;0
pedroparra;Cordoba;10;95;3;3;0
RicardoRodriguezArg;Cordoba;1;93;0;7;0
franjial;Córdoba;1;81;0;4;0
sgomez;Córdoba, Spain;32;81;21;2;0
mdottavio;Córdoba;1;79;7;2;0
juangranadilla;Córdoba;3;72;0;5;0
javiermadueno;Córdoba;2;71;2;2;0
ejimenez;Córdoba;9;70;1;5;0
i32petoj;Córdoba, Spain;15;68;0;5;0
diegojmaldonado;Córdoba;5;68;0;5;5
navarrozuara;Córdoba;4;62;0;3;0
i32ropie;Cordoba, Spain.;10;62;4;3;0
rafaeling;Córdoba;2;61;0;5;0
albertogallego;Córdoba, Spain;19;57;3;3;0
cmorillo;Puente-Genil, Córdoba, Spain;2;55;0;3;0
felvida;Cordoba-SPAIN;0;54;0;6;0
Rubenrod18;Spain, Cordoba;5;53;0;3;0
pabagan;Córdoba, Spain;1;50;0;4;0
ACruz91;Córdoba;3;47;0;6;0
LuqueDaniel;Córdoba - Spain;5;46;25;1;0
ST2Labs;Cordoba (Spain);2;44;1;3;0
DrankoLQ;Córdoba, Spain;6;44;1;4;0
p92camcj;Córdoba, España;7;41;4;1;0
javierburongarcia;Cordoba, Spain;20;40;7;2;0
emilioramirez;Córdoba;8;40;5;2;0
alvaromoo;Córdoba, España;0;40;0;3;0
jesuschicano;Cordoba (Spain);4;36;2;2;0
tato469;Córdoba, Spain;8;36;46;3;0
cgp989;cordoba;1;35;0;2;0
dtrillo;Córdoba - Spain;5;35;1;1;0
david11988;Córdoba;4;32;0;3;0
Caes95;Montería, Córdoba - Colombia.;8;30;2;2;0
ivanportillo;Córdoba, Spain;18;28;4;3;0
