login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
ojoven;Donostia - San Sebastián;18;2704;22;11;0
erral;Eibar, Gipuzkoa, Basque Country;12;1084;17;11;0
aldatsa;Usurbil, Gipuzkoa (EH);10;823;2;13;12
rmhdev;Donostia;2;691;49;7;0
daviddesancho;Donostia - San Sebastián;9;346;0;5;0
ragerri;Donostia-San Sebastian;9;341;2;8;0
Aitorzubizarret;Eibar, Spain;5;261;0;71;0
blizarazu;Donostia;1;209;2;2;0
Skillath;Lasarte-Oria, Gipuzkoa;6;189;2;9;0
mediascape;Donostia;12;179;3;4;0
aitiba;Donostia - San Sebastián;11;153;4;12;0
iarganda;Donostia-San Sebastian, Spain;8;151;1;3;0
juaristi;Donostia-San Sebastián, Spain;2;121;1;5;0
b0rxa;Donostia, Spain;2;117;4;7;0
jonathanSS;Donostia-San Sebastián, Gipuzkoa, Spain.;1;104;2;3;0
Gontxal0;Donostia;12;102;1;5;0
anajuaristi;Gipuzkoa (spain);16;101;0;5;0
ggalmazor;Donostia;32;100;106;4;0
juananpe;Irún, Gipuzkoa;8;95;5;5;0
jcdc21;Bilbao / Donostia;2;90;1;21;0
Sulley38;Pasaia, Gipuzkoa;5;83;1;2;0
unaipme;Ordizia, Gipuzkoa;2;81;0;5;4
txomin-jimenez;Donostia;5;58;6;7;0
josuhercearsuaga;Andoain, Gipuzkoa;5;47;0;3;0
rjgarciam;San Sebastián/Seville, Spain;3;42;0;2;0
neelravi;Donostia San Sebastian, Spain;0;41;0;2;0
IonAlberdi;Donostia - San Sebastian;0;28;0;2;0
libargutxi;Eibar, Gipuzkoa;1;28;0;3;0
mberasategi;Donostia;1;26;2;2;0
javiercerro;Donosti;0;26;0;2;0
mikelzorrilla;Donostia;0;24;0;1;0
fernandolozano;Donostia;2;22;0;4;0
miguelprada;San Sebastián;0;20;0;3;0
missuks;San Sebastián;5;17;0;2;0
edertxorocker;Donostia, Basque Country;0;16;2;3;0
gorkavicente;San Sebastián;1;14;0;1;0
jlumietu;San Sebastian, Gipuzkoa, Spain;0;13;0;1;0
janogarcia;San Sebastián, Spain.;15;13;1;2;0
olatz87;Donostia, Euskal Herria;1;12;1;2;0
jabiluengo;Tolosa, Gipuzkoa;0;11;0;1;0
pouillon;Donostia-San Sebastián, Spain;0;11;0;1;0
anboto;Gipuzkoa;2;11;0;2;0
lkabongoVC;Donostia-San Sebastian;0;10;3;3;0
akixe;San Sebastián;0;9;1;1;0
donostiarra;Donostia-San Sebastián;0;8;0;1;0
JonJG;Donostia;2;8;0;2;0
ikLatorre;Donostia;0;7;0;2;0
gazkarra;Renteria, Gipuzkoa, Basque Country;0;7;0;1;0
sgpbelez;Donostia, Basque Country.;0;7;0;3;0
ander-ansuategi;Eibar, Gipuzkoa, Spain;0;6;0;1;0
jmartinezot;Donostia;1;6;0;2;0
koldoartola;Donostia - San Sebastián;2;6;0;1;0
manexagirrezabal;Donostia;1;5;0;1;0
xabikip;Gipuzkoa, Euskal Herria;18;5;5;1;0
IkasMakers;Eibar (Gipuzkoa);0;4;0;1;0
Legrandk;Donostia;3;3;0;2;0
Joseba84;San Sebastián;3;3;0;1;0
fernandopr;Donostia-San Sebastián;0;3;0;1;0
ander2;Donostia;2;3;1;1;0
hirikilabs;Donostia / San Sebastián;0;3;0;1;0
aitor-garcia-p;Donostia - San Sebastián;0;3;0;1;0
bgamecho;Donostia-San Sebastián;3;3;1;1;0
lunzueta;Donostia, Basque Country, Spain;3;2;1;1;0
jjrodrig;Donostia-San Sebastian;0;2;1;2;2
REZABUEN;donostia;0;2;0;1;0
sheilapbi;San Sebastián;21;2;0;1;0
JeremiasPerez;Donostia - San Sebastián;0;1;0;1;0
cluster28;San Sebastián;1;1;0;1;0
YEIZON;DONOSTIA SAN SEBASTIAN;0;1;2;1;0
wcumbicus;Donostia;0;1;0;1;0
javierBarandiaran;Donostia-San Seabstián (Spain);0;1;0;1;0
