login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
notnotpsych0;Galicia, Spain.;1;2702;2;6;0
oscarotero;Galicia;94;2081;1557;30;0
rubenhortas;Lugo ⊕ A Coruña (Galiza, Spain);19;588;6;14;0
unho;Galicia;12;536;25;6;2
CytraL;Galicia;8;442;21;11;0
barcia;Galicia, Spain;12;395;4;6;0
rafacouto;Galicia;24;390;9;9;0
eusonlito;Ourense, Galiza;23;375;199;6;0
ablunier;Compostela, Galiza;8;343;10;5;0
alexandregz;Galiza;18;326;67;27;0
bertez;Brión, Galicia, Spain;34;322;29;5;0
dalareo;A Coruña (Galiza);16;257;1;6;0
cmoralesweb;Galicia, Spain;4;246;5;5;0
segundofdez;Lugo, Galicia, Spain;12;206;8;7;0
liraru;Galicia, Spain;1;203;2;10;3
antonmry;Galicia;2;176;1;4;0
jbgutierrez;A Coruña, Galicia, España;14;175;104;9;0
markoshorro;Galicia;13;174;5;6;0
weberjavi;Galicia, Spain.;14;165;0;6;2
kojicomics;Galiza (Spain);3;144;1;5;2
albertoruibal;Galicia, Spain;24;138;49;5;0
juliome10;Galiza;16;131;158;3;0
david-campos;Galicia, Spain;1;115;0;8;0
andru;Galiza, Spain;9;104;4;4;0
christianponte;Galicia, Spain;2;103;0;4;0
bertogs;Galicia,Spain;0;102;0;2;0
BalbuenaJuan;Vigo (Galicia, España);8;93;1;3;0
orestes;Barcelona → ✈️ → Galicia;14;87;1;5;0
dieg0v;Lugo, Galicia, Spain;7;80;30;4;0
duqueGZ;A Coruña (Galicia, Spain);1;77;0;3;0
OoNEKERAFAoO;A Coruña / Galicia (Spain);0;70;7;4;0
Pablo-Rodriguez;Vigo, Galiza;4;67;0;2;0
gaioso;Santiago de Compostela, Galicia (Spain);3;65;0;3;0
dieg0vb;Padrón - Galicia;0;60;1;4;0
ivnc;Galicia, Spain;0;58;0;3;0
chavaone;A Coruña, Galiza;18;54;20;2;0
hlfernandez;Ourense (Galicia);2;51;0;3;0
j0ssGZ;Pontevedra, Galicia;7;47;1;2;0
OrdinaryMagician;Galicia, Spain;110;46;67;3;0
olalinv;Galicia (Spain);0;43;0;3;0
manufy;Galicia - Spain;3;36;13;4;0
albertoluengo;Lugo, Galicia, Spain;1;34;0;3;0
horaciogd;Galicia / Spain;1;33;4;3;0
csanvas;Galicia, Spain;1;32;0;2;0
LucasMontero;Lugo, Galicia, Spain;2;30;0;4;0
galirema;Santiago de Compostela. Galicia. Spain;0;30;0;1;0
OsuKrafter;Galicia, Spain;1;30;2;2;0
josemato;Galicia;5;25;6;2;0
emurias;Galicia, Spain;1;24;0;1;0
nachouve;Galicia, Spain;17;22;17;4;0
ildsiempre;Vigo, Galicia, Spain;0;21;0;4;0
davidtaboas;Ponteareas, Pontevedra, Galicia;5;18;4;1;0
Adizlois;Galicia;1;17;0;1;0
AdriVillaB;Galicia;4;16;2;2;0
morois;Galiza;7;15;1;2;0
AgomezGZ;Lugo, Galiza;1;14;3;4;0
EstherAF;Galicia, Spain;4;14;2;1;0
lauantai;Bueu, Galicia;1;13;0;1;0
jesusropi;Galicia;2;11;0;5;0
bokybanton;Ourense, Galicia, SPAIN.;1;11;4;2;0
diego-XA;Galiza;2;11;10;1;0
fvnuria;Galicia;0;11;0;1;0
leitinha;Galiza;0;9;0;3;0
toniferr;Galicia;1;9;0;3;0
kotehector;Bueu, Galiza;2;9;0;2;0
pvieito;Galicia;0;8;13;1;0
Sanva;Galicia, Spain;5;8;19;1;0
keko;Galicia;3;8;1;2;0
robertorodriguezgarcia;Galicia, España;0;8;0;1;0
franrc89;A Coruña, Galicia, Spain;0;7;0;1;0
berio;Galicia;9;7;8;1;0
CristoferCD;Galicia;3;7;0;1;0
radabass;Galicia;0;7;0;2;0
mpperez3;Ourense (Galicia);2;6;0;1;0
borjapazr;San Mauro, Frades, A Coruña, Galicia, Spain;0;5;0;1;0
xxesus;Galiza;1;5;0;1;0
gpc17;Galicia, Spain;0;4;0;3;0
ptomico;Galicia, Spain;2;4;0;1;0
NiciusB;Galicia, Spain;2;4;4;1;0
gprodriguez;Galicia;1;4;0;2;0
xose;Galicia, Spain;7;4;45;1;0
dolphinziyo;Galicia;0;3;1;2;0
ivangsa;A Coruña, Galicia, Spain (GMT+1);1;3;7;1;0
venadHD;Galicia, España;0;3;0;1;0
B1NAR10;Galicia ( Spain );3;3;0;1;0
oscarmlage;Lugo, Galicia, Spain;10;3;4;1;0
meixome;Galicia;4;3;3;1;0
jakinho;Galicia;1;3;0;1;0
butelo;A Coruña, Galicia;0;2;9;1;0
TheHollowEsp;Galicia;0;2;0;1;0
WuShell;Lugo, Galicia, Spain;2;2;0;1;0
maeloc;Galiza;0;2;0;1;0
laegnur;Redes (A Coruña), Galicia, Spain;0;1;0;1;0
vquintans;Galicia - Spain;4;1;0;1;0
micafe;Parque Tecnológico de Galicia;4;1;1;1;0
xosealvarez;Galicia, Spain;0;1;0;1;0
thisjrodriguez;Galicia;2;1;0;1;0
joseate;Galiza;1;1;0;1;0
