login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
angelortega;El Casar, Guadalajara, Spain;4;590;42;4;0
armandooj;Guadalajara;1;225;2;25;0
leofigy;Guadalajara;0;188;2;4;0
skuarch;Guadalajara;1;95;14;4;2
danielRomero;Guadalajara, España;3;93;2;5;0
jonajgs;Guadalajara;1;78;0;8;0
JorgeCA91;Guadalajara;8;66;0;3;0
pedroamador;Guadalajara;5;63;10;2;0
iax7;Guadalajara, JL;7;60;0;3;0
emsedano;Guadalajara;1;53;0;2;0
Ziiweb;Guadalajara, Spain;0;51;0;3;0
HectorTorres;Guadalajara;0;47;0;7;0
soberanes;Guadalajara;1;41;1;3;0
noiarek;Guadalajara;2;41;0;4;2
gvsdan;Guadalajara;2;40;1;3;0
elinformatico;Guadalajara;0;39;2;3;0
adridev;Guadalajara, Spain;3;35;0;3;0
erixon7;Puebla y Guadalajara;0;32;0;1;0
ferfff;Guadalajara;0;29;0;2;0
IvetteGoes;Guadalajara;0;28;0;2;0
4lberto;Guadalajara, Spain;1;27;6;4;0
luisfusim;Guadalajara;1;27;0;2;0
danivegamx;Guadalajara, MEX;1;24;2;3;0
omarloren;Guadalajara Mx;3;20;2;3;0
reicker;Guadalajara;0;20;0;2;0
Jesus290;Guadalajara;0;19;0;4;0
rissell;Guadalajara;0;18;0;4;0
ingenierouga;Guadalajara, JA;4;17;0;3;0
silentsight;Guadalajara;0;16;1;1;0
hugo10723;Guadalajara;0;13;0;2;0
kenwbauer;Guadalajara;14;11;1;1;0
M4ch1n;Guadalajara;0;11;1;2;0
danielcarrasco;Guadalajara;0;11;0;3;0
antonioJASR;Guadalajara, M'exico;5;10;2;2;0
atabel;Guadalajara;4;10;8;2;0
jesusrosas;guadalajara;0;10;0;1;0
jfran75;Guadalajara;0;10;1;1;0
oswaldo1119;Guadalajara;0;9;0;2;0
kadon;Guadalajara;0;9;1;2;0
marcos1951;guadalajara;1;9;0;2;0
studentsofmarkbaldridge;guadalajara/chicago;0;9;0;2;0
etalavera;Guadalajara, Jal;1;8;0;2;0
Afey;Guadalajara, Spain, Europe;0;7;10;1;0
pollitux;Guadalajara;8;7;0;1;0
sotovi;Guadalajara;1;6;0;1;0
ulisespulido;Guadalajara;5;6;9;1;0
naivaf;Guadalajara;5;6;0;1;0
iorch;Guadalajara;1;5;2;2;0
arrutneo;Guadalajara;1;5;3;1;0
Gusaar;Guadalajara, Jal.;2;5;1;1;0
FranciscoME;Guadalajara;1;5;3;1;0
Uriel7;Guadalajara;3;5;0;1;0
destinomultimedia;Guadalajara, Spain;2;4;25;1;0
panduroab;Guadalajara;0;4;1;1;0
mdelreal;Guadalajara, Mx;1;4;0;1;0
goedecke;Guadalajara;0;3;0;1;0
caniculari;Guadalajara;1;2;0;1;0
enrike19;Guadalajara;1;2;0;1;0
albruns;Guadalajara;0;2;0;1;0
makote;Guadalajara;3;1;1;1;0
crokethinky;Guadalajara, SPAIN;0;1;0;1;0
itjrodrigu;Guadalajara;0;1;0;1;0
pod32g;Guadalajara;1;1;0;1;0
wcjos;Guadalajara;0;1;0;1;0
FranciscoNieves;Guadalajara;0;1;0;1;0
PedroAlhambra;Pioz, Guadalajara;0;1;0;1;0
