login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
rbuj;Lleida;1;471;2;;
Panthro;Lleida, Lleida, Spain;6;379;9;;
pestomerdes;Lleida;2;245;0;;
jvilaplana;Lleida;4;239;5;;
svilaa;Lleida, Catalonia, Spain;4;237;1;;
jponf;Lleida;7;176;0;;
sinmsinm;Lleida;2;146;11;;
Termeni;Lleida;6;137;0;;
davidkaste;Lleida;30;134;5;;
f-guitart;Lleida;5;114;0;;
kborrell;Lleida, Catalonia (Spain);3;110;0;;
jmgimeno;Lleida, Spain;20;97;82;;
pokoli;Sarroca de Lleida;10;96;13;;
rul3s;Lleida;0;92;1;;
L4D15;Lleida;10;91;3;;
tryadelion;Lleida, Catalonia;4;81;3;;
carlesm;Lleida;25;71;7;;
etrepat;Lleida, Spain;19;56;68;;
admin-rgbconsulting;C/ Arquitecte Morera i Gatell, 2 Lleida 25196;0;45;0;;
mpifa;Lleida;1;41;0;;
joseprupi;Vallfogona de Balaguer;1;33;0;;
eah1;Lleida;1;30;0;;
JordiROP;Lleida - Catalonia - Spain;4;30;0;;
adriangibanelbtactic;LLeida, Spain;5;28;14;;
xavimoya;Lleida;0;28;0;;
gcastella;Lleida;0;27;0;;
mcarques;Lleida;0;27;0;;
W0MP3R;Lleida;1;23;0;;
mpampols;Lleida;4;23;14;;
mpascu;Lleida;1;21;0;;
jlerida;Lleida;2;20;1;;
Ricard;Lleida, Catalunya;3;17;0;;
jordimurgo;Lleida - Catalonia - Europe;3;16;4;;
yuckshaine;Lleida;0;16;0;;
DoHITB;Lleida;1;14;0;;
mateullas;Lleida;0;14;0;;
bmunslow;Lleida;2;14;0;;
AlbertMorenoDEV;Solsona, Lleida;5;12;0;;
mjordana;Lleida;3;10;0;;
rlmesones;Lleida;0;8;0;;
marclafita;Lleida;0;7;0;;
mariavilaro;Sort,Lleida,Spain;1;7;0;;
jordim;Lleida, Spain;12;6;2;;
ejgutierrez74;Lleida;2;6;0;;
Ruekov;Lleida;4;6;2;;
psykologist90;Lleida, Spain;0;5;0;;
ivanrdgc;Lleida, Spain;0;5;0;;
ericalarcon;Lleida;1;5;0;;
rafacuest;Lleida;0;3;1;;
Shauku;Balaguer;3;2;0;;
BioStatsLleida;Biomedical Research Institute of Lleida;0;2;0;;
JesusMurF;Lleida, Spain;8;2;1;;
iferrera;Lleida;1;1;0;;
jaumecornado;Lleida;6;1;49;;
JordiMateo;Lleida;1;1;0;;
