login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
niwinz;Madrid, Spain, Sofia, Bulgaria;308;4252;2116;815;815
javierarce;Madrid;75;3540;187;13;0
quintesse;Madrid, Spain;13;3212;6;13;4
xavijam;Madrid, Spain;40;3059;39;12;0
juanignaciosl;Madrid - Valladolid;20;2866;16;13;0
rochoa;Madrid, Spain;35;2585;4;40;0
sergiogonzalez;Madrid;26;2535;17;12;0
viddo;Madrid, Spain;24;2531;7;6;0
ealonso;Madrid;6;2473;4;15;15
adolfopa;Madrid;7;2394;15;40;0
apercas;Madrid, Spain;5;2258;3;7;0
sanacl;Madrid;9;2227;1;57;0
alexgallardo;Madrid;10;2162;0;5;0
dmoranj;Madrid (Spain);18;2161;29;12;0
pedrovgs;Madrid;884;2086;1650;103;0
Obijuan;Madrid (Spain);176;2035;201;24;8
juliocamarero;Madrid;49;1980;46;12;0
alejandrodob;Madrid, Spain;15;1896;0;19;0
acs;Getafe, Madrid, Spain;10;1809;10;21;2
teleyinex;Madrid, Spain;44;1764;41;5;0
fgalan;Madrid, Spain;14;1660;3;6;0
nhpatt;Madrid, Spain;32;1658;50;48;0
rafatower;Madrid;6;1600;1;6;0
Endika;Madrid;8;1599;4;38;0
bameda;Madrid, Jaén, Spain, España;80;1561;76;757;757
deivid-rodriguez;Madrid;47;1556;721;21;0
ahmad88me;Madrid, Spain;8;1523;1;17;0
luisivan;Madrid, Spain;84;1429;109;245;0
jmnavarro;Madrid;29;1393;31;6;0
gjulianm;Madrid, Spain;14;1324;30;19;2
andreslucena;Madrid;23;1304;1;11;0
kikito;Madrid, Spain;319;1302;2344;14;0
jabrena;Madrid, Spain;13;1301;16;23;2
agordillo;Madrid;13;1281;4;5;0
aitormagan;Madrid;8;1274;0;6;0
delarosatrevin;Madrid, Spain;3;1264;0;33;0
fdansv;Madrid / Santiago de Compostela;20;1212;20;5;0
dsaenztagarro;Madrid;10;1205;2;26;6
MaximeHeckel;Strasbourg, France / Madrid, Spain;36;1176;54;8;0
piranna;Alcorcón, Madrid, Spain;93;1154;46;20;0
sergiopasra;Madrid;1;1096;1;12;0
aarranz;Madrid, Spain;12;1080;3;12;0
jcaden;Madrid;13;1070;4;7;0
javisantana;Madrid - Valladolid;150;1052;129;11;0
epgarcia;Madrid;13;1039;8;12;0
oesteban;Madrid;9;1032;5;19;0
robertoDiaz;Madrid - Gijón;2;1027;0;13;0
andresgnlez;Madrid / Málaga;0;1004;0;9;0
RotaruDan;Madrid (Spain);19;1003;6;12;0
miguel0afd;Madrid, Spain;8;989;27;14;0
jkappler;Madrid, Spain;2;979;0;6;0
Razican;Madrid, Spain;25;968;11;20;2
izaera;Madrid, Spain;15;910;30;6;0
juanfran;Madrid;27;903;115;11;0
mdelapenya;Madrid, Toledo (Spain);15;890;17;9;0
jespino;Madrid, Spain;110;881;176;11;0
matallo;Madrid, ES;29;877;7;9;9
ibc;Bilbao & Madrid;69;872;147;22;0
ferjm;Madrid;39;872;45;7;0
vegaro;Madrid, Spain;8;869;3;9;0
fermayo;Madrid, Spain;34;866;6;13;0
mancas;Madrid;1;864;1;25;0
migue;Madrid;40;861;62;8;0
ebarra;Madrid;18;861;3;5;0
monday8am;Madrid;17;860;32;16;0
est77;Madrid;35;856;17;12;3
mcuadros;Madrid, Spain;73;856;1119;17;0
rafinskipg;Madrid;53;855;82;10;0
tifayuki;Madrid;43;850;14;6;0
xuanxu;Madrid, Spain;78;806;61;107;107
eferro;Madrid;19;803;8;336;336
bonigarcia;Madrid;12;794;28;20;0
carlospalacin;Madrid, Spain;2;792;0;17;17
alexfernandez;Madrid, Spain;97;789;614;11;11
camposer;Madrid/España;30;778;15;5;0
Kartones;Madrid, Spain;29;773;4;13;0
flopezag;Madrid (Spain);5;769;2;7;0
albertov;Madrid;6;764;2;34;0
delapuente;Madrid;54;757;96;7;0
dowrow;Madrid;17;754;5;11;0
josegom;Madrid;3;750;2;5;0
AlvaroVega;Madrid;2;742;16;5;0
David-Estevez;Madrid, Spain;25;738;19;25;25
Xaviju;Madrid, Valencia, Spain;53;721;103;6;0
neikeq;Madrid;2;719;6;32;0
Manu343726;Madrid, Spain;76;711;201;7;0
csantosb;Madrid;1;710;3;36;6
ahaasler;Madrid, Spain;8;707;10;297;297
Jsevillamol;Madrid, Spain;10;699;10;10;0
iriberri;Madrid;16;689;3;13;0
carlosms;Madrid, Spain;3;682;2;5;0
Jesus89;Madrid (Spain);29;680;8;10;10
dmamolina;Madrid;6;674;3;5;0
alfonsomga;Madrid, Spain.;6;671;0;44;0
cossorzano;Madrid;2;668;0;6;0
atd;Madrid;72;667;151;10;0
jframos;Madrid;0;657;0;6;0
yagop;Madrid, Spain;84;653;821;7;0
jbalsas;Madrid, Spain;27;638;51;7;0
mvader;Madrid, Spain;91;635;174;7;0
VGonPa;Leganés (Madrid);10;628;3;34;0
abdonrd;Madrid, Madrid, Spain;26;627;8;19;5
gonthalo;Madrid, Spain;1;627;6;14;0
ferreiro;Madrid;8;624;19;9;7
dLobatog;Madrid, Spain;58;620;122;17;0
abenitoc;Madrid;13;615;5;6;0
alvatar;Madrid, Spain;75;612;120;23;0
agonlucas;Madrid;0;608;0;5;0
carlosgs;Madrid, Spain;87;603;459;12;0
carlosazaustre;Madrid, Spain;723;597;513;37;0
gserranojc;Madrid;7;591;1;10;0
fgimenez;Madrid;7;590;38;6;2
michael-emmi;Madrid, Spain;9;590;4;10;0
Diseinuak;Getafe - Madrid, España;0;583;1;39;0
jose-izquierdo;Madrid;9;582;0;195;2
danirod;Madrid, Spain;59;571;36;12;2
caiomsouza;Madrid / São Paulo;15;560;2;5;0
javivelasco;Madrid, Spain;46;552;14;21;21
cblanco;UPM madrid;2;551;0;5;0
ethervoid;Valladolid , Madrid, Spain;17;549;9;7;0
jcollado;Madrid (Spain);11;544;10;5;0
islomar;Madrid;9;542;5;8;3
alejandrofcarrera;Madrid, Spain;9;540;19;5;2
decabeza;Madrid;20;532;1;13;2
MariadeAnton;Madrid, Spain;26;530;10;5;0
jeslopalo;Madrid, Spain;2;527;0;21;0
gorco;Madrid - Spain;8;526;0;12;3
gonzaloruizdevilla;Madrid, Spain;58;522;123;71;0
chiquitinxx;Madrid;12;511;127;20;0
gtorodelvalle;Madrid, Spain;6;508;10;6;0
lucasponce;Madrid;15;502;14;7;0
albertinisg;Madrid;1;495;0;5;0
geonexus;Madrid;0;494;0;5;2
muit;Madrid, España;18;492;108;22;0
danielo515;Madrid Spain;10;492;17;17;0
gregoriorobles;Madrid (Spain);61;492;1;22;0
csierra;Madrid, Spain;10;491;3;5;0
saleiva;Madrid and NYC;78;489;102;8;0
borja;Madrid (Spain);41;487;12;7;0
elgambitero;Madrid, Spain;3;483;5;19;0
