login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
kusor;Murcia (Spain);43;1072;202;6;0
elenatorro;Murcia / Alicante / Salzburg;50;922;14;62;0
manolovn;Murcia, Spain;21;123;8;4;0
RaulKite;Murcia (Spain);3;120;5;5;0
CarlosButron;Murcia;15;93;16;3;0
TonyWang-UMU;Murcia, España;1;59;0;6;0
neomede;Totana, Murcia;10;55;5;3;0
guillermofr;Murcia , Spain;3;46;2;4;0
ortuman;Murcia;5;43;429;2;0
Icebox2;Murcia;1;42;0;6;0
SiroDiaz;Murcia, Spain;2;42;5;4;0
soulchainer;Murcia;4;41;3;2;0
delafuente28;Murcia (Spain);1;35;0;2;0
Jose3L;Alhama de Murcia, España;2;35;0;4;0
fjsanpedro;Murcia (Spain);4;30;14;2;0
jlmd;Murcia, Spain;10;26;22;3;0
pedromateo;Murcia, Spain;3;25;4;1;0
OpenMurVDI;Murcia, Spain;6;23;1;1;0
RdlP;Murcia;1;22;4;2;0
alejandro-perez;Murcia, Spain;1;21;1;3;0
ala747;Murcia, SPAIN;8;21;8;3;0
Earthlandto;Murcia, ES;2;20;0;2;0
dvigueras;Murcia;27;15;3;2;0
dard0;Murcia;9;14;0;2;0
AdrianECom;Murcia, Spain;3;11;0;3;3
gabrielperales;Murcia;17;11;0;2;0
forlayo;Murcia;2;9;2;2;0
rubio;Murcia;2;8;1;1;0
egosum;Murcia;6;6;0;1;0
joseillan;Murcia, Spain;1;5;0;1;0
tonilopezmr;Murcia;4;4;3;2;0
StackVDI;Murcia, Spain;7;4;6;2;0
yreaction;Murcia (Spain);1;3;4;1;0
Dazag;Murcia, España;1;3;1;1;0
MiguelGL;Murcia, Spain;3;3;0;1;0
nitrico;Murcia, Spain;1;3;0;1;0
zerosofadown;Spain, Murcia, Lorca;1;3;0;1;0
dsevilla;Murcia, Spain;11;2;16;1;0
klaufel;Murcia (Spain);1;1;1;1;0
jmlweb;Murcia;12;1;6;1;0
