login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
macagua;Libertador, Mérida, Venezuela;110;618;25;21;0
andresgsaravia;Mérida;7;233;18;16;0
MarioRicalde;Mérida, México;83;172;1865;4;0
LuisBurgos;Mérida, Yucatán;3;170;0;7;0
josedulanto;Mérida, México;2;133;1;12;0
jupazave;Mérida, MEX;11;132;109;4;0
map0logo;Mérida, Venezuela;12;107;589;4;0
javierojeda94;Mérida, Yucatán, México;2;106;1;3;0
gaastonsr;Mérida, Yucatán, México;1;105;1212;5;0
styp152;Mérida, Venezuela;14;99;10;3;0
wuilliam321;Mérida, Venezuela;8;91;4;6;0
JeansLicona;Mérida, Yucatan;1;81;2;3;0
daetherius;Mérida, México;3;66;710;2;0
vidalalcala;Mérida, México;3;46;25;3;0
ArianCastillo;Mérida;1;38;1;3;0
luissquall;Mérida, México;6;35;799;3;0
JGutierrezC;Mérida, México;1;32;546;4;0
oscaruhp;Mérida;1;31;0;1;0
miguelbalboa;Mérida, Yucatán.;24;28;233;2;0
pegnacorp;Mérida, Yucatán;1;26;0;6;0
hernanramirez;Mérida, Venezuela;1;19;16;2;0
kenshin23;Mérida, Venezuela;1;15;1339;4;0
jredrejo;Mérida - Spain;2;15;5;2;0
codebio;Mérida, Venezuela;4;14;1;2;0
joseangelmr;Mérida-Venezuela;3;10;1;2;0
lmolina;Mérida/Venezuela;8;6;4;1;0
respadas;Mérida, Yucatán;1;5;32;1;0
EduardoRT;Mérida;5;5;1;1;0
jahrmando;Mérida, Yucatán;3;4;1;1;0
lfbos;Mérida - Venezuela;1;3;0;1;0
Axelcureno;Mérida, Yucatán.;1;3;1;1;0
mehanika;Mérida, Yucatán, México;1;3;1;1;0
ajmv;Mérida, Venezuela;1;3;1;1;0
ruscruzel;Mérida;8;2;4;1;0
atomicum;Mérida;2;1;0;1;0
alberto-cabeza;Mérida;2;1;9;1;0
genarby;Mérida, Venezuela;2;1;1;1;0
