login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
saulmm;Vigo, Spain;284;598;2098;18;0
carlosgoce;Baiona, Pontevedra, Spain;3;496;1;11;0
fpuga;Vigo. Spain;10;440;2;5;0
luisgf;Vigo, Spain;0;309;0;9;0
dpino;Vigo;14;254;40;5;0
michogar;Vigo;14;231;7;4;0
Pablo-Rodriguez;Vigo, Galiza;0;204;0;4;0
carlosga;Vigo, Spain;4;193;1;11;0
xurxof;Vigo;1;125;1;9;0
Aitor1995;Vigo;4;123;1;6;0
migonzalvar;Vigo, Pontevedra, Spain;18;122;33;4;0
jjelosua;Vigo, Spain;20;119;5;3;0
ignlg;Vigo, Galicia, EU;3;118;4;3;0
fsouto;Vigo, Spain;11;100;19;5;0
jesus-sayar;Vigo - Madrid;25;98;7;4;0
sotogarcia;Vigo, Spain;6;94;4;3;0
damianfral;Vigo;10;93;5;4;0
pabloarias;Vigo (Spain);9;86;6;1;0
alejandrosantana;Vigo (Spain);6;77;0;3;0
AlessioPaternoster;Vigo di Ton (Trento);0;66;0;5;0
Alexsays;Vigo;2;65;9;4;0
forvas;Vigo;2;59;0;5;0
abdonrd;Vigo, Galician, Spain;12;49;3;1;0
kix2902;Vigo, Spain;16;49;0;3;0
mirkeet;Vigo, Spain;4;48;0;3;0
lrodero;Vigo, Spain;0;41;3;3;3
sroca93;Vigo, Spain;0;35;0;7;0
DaniMunin;A Coruña / Pontevedra;6;34;0;3;0
mopred;Vigo, Spain;2;33;1;3;0
amieiro;Vigo, Spain;4;30;8;3;0
gonzaloadrio;Vigo;12;30;0;3;0
JuanBalbuenaGonzalez;Vigo (Galicia, España);4;29;1;3;0
jsanroman;Vigo;4;29;6;1;0
rafalopez79;Vigo, Spain;1;29;0;2;0
pagafa;Pontevedra;0;28;0;2;0
uxio90;Vigo;1;26;0;2;0
programwar;Vigo;6;25;0;2;0
pdorgambide;Pontevedra Spain;0;23;1;2;0
diegofdez;Vigo, Spain;3;21;0;2;0
pdiegodios;Pontevedra, Spain;1;20;0;5;0
AdriCS;Vigo;0;20;0;4;0
jacoboqc;Vigo;0;20;0;2;0
vilasmaciel;Vigo;1;19;0;1;0
peru986;Vigo;1;19;0;2;0
epicleptico;Vigo, Spain;3;19;0;2;0
aabilio;Vigo;9;16;66;2;0
dlsuarez;Vigo, Spain;3;15;0;1;0
diegopau;Vigo, Spain;5;14;5;2;0
Ciges;36210 Vigo (Spain);5;13;10;4;0
Pteridium;Vigo, Spain;6;13;4;2;0
tomasalmeida;Vigo;4;13;0;3;0
zoltyvigo;Vigo;0;12;0;2;0
punkto;Vigo, Spain.;4;12;11;1;0
radikalbytes;Vigo, Spain;6;11;11;1;0
villaverde;Vigo;1;10;0;2;0
anpefi;Vigo, Spain;0;9;0;1;0
mfernandezmsistemas;Spain (España) - Vigo;0;9;0;2;0
novooa;Redondela (Pontevedra,Spain);0;8;0;1;0
kmewi1000;Vigo;1;8;0;2;0
iagosayar;Vigo;10;7;0;1;0
fortunatus26;Vigo;1;7;0;1;0
marimartinez;Cangas de Morrazo, Pontevedra;1;7;0;1;0
dibanez;Vigo (Spain);2;7;6;1;0
sherreria;Vigo, Spain;1;7;0;1;0
erc-anubia;Vigo;1;7;0;2;0
damiannogueiras;Vigo - Pontevedra - España;36;6;0;1;0
eskalera;Vigo;0;6;0;3;0
Birramatic;Pontevedra (Spain);0;5;0;1;0
eocanha;Vigo, Spain;0;5;0;1;0
NicoJayson;Vigo;7;5;1;1;0
braisdesousa;Vigo;2;4;0;1;0
webvigo;Vigo;0;4;0;1;0
jdapena;Vigo;3;4;10;1;0
dseijasiglesias;Vigo;35;3;4;1;0
ravacho;Vigo (Spain);0;3;1;1;0
Ricardolau;Vigo - España;1;3;1;2;0
irenecastro;Vigo, Spain;0;3;0;1;0
182mick44;Vigo;0;2;0;1;0
sCervino;Vigo;0;2;0;1;0
luckyluke;Vigo;1;2;12;1;0
B0gdar;Vigo;0;2;0;1;0
xrosas;Vigo;1;2;0;1;0
pablocostas;Vigo, Spain;0;2;0;1;0
albertedevigo;Vigo;0;2;5;1;0
jairochapela;Cangas, Pontevedra (Spain);1;2;0;1;0
kusflo;Vigo;0;2;0;1;0
miguelamor;Vigo;0;2;0;1;0
rugarciap;Vigo (Spain);0;2;61;1;0
gmarko;Vigo;0;2;0;1;0
migrax;Vigo;1;1;3;1;0
miquecg;Vigo;1;1;1;1;0
IncludeSolutions;Vigo;0;1;0;1;0
miguelsanchezvigo;Vigo, Spain;0;1;0;1;0
acarballo;Pontevedra;1;1;0;1;0
JabirM;Vigo;3;1;0;1;0
alg-a;Vigo - GZ;2;1;1;1;0
dovalin;Vigo & Forcarei, Spain;0;1;0;1;0
DanWearsPrada;Vigo, Galicia, Spain;0;1;0;1;0
roca67;Vigo;1;1;0;1;0
IagoGC;Vigo - Spain;0;1;0;1;0
