login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
ecoal95;Salamanca, Spain;19;609;21;7;0
ntrrgc;Salamanca, Spain;2;359;13;7;0
juan-cb;Salamanca (Spain);2;197;0;2;0
luisddm;Salamanca, CyL, Spain;4;179;0;11;0
jagarciavi;Salamanca, Spain;2;175;0;5;0
antoniogarrote;London UK / Salamanca Spain;146;141;1115;10;0
sergiohs84;Salamanca, Spain;1;92;0;5;0
javiglesias;Salamanca;3;85;0;5;0
raulmarcosl;Salamanca & Madrid;16;80;1;3;0
inacho;Salamanca, Spain;7;67;112;3;0
aliciagh;Salamanca;2;64;0;2;0
lynxpardina;Salamanca, Spain;1;60;0;4;0
pablo0910;Salamanca, Castilla y León, Spain;0;56;0;2;0
ricardoper;Salamanca;5;50;86;4;0
dem3trio;Salamanca;1;47;1;3;0
javiergm1983;Salamanca;0;39;0;3;0
hangorn;Salamanca, Spain;0;34;0;4;2
mikessoldier;Salamanca;0;32;0;6;0
ganchito55;Salamanca;2;30;3;2;0
moral3jo;Salamanca;1;26;0;4;0
sactre;Salamanca, spain;0;24;0;2;0
luisinder;Salamanca (Spain);3;19;0;2;0
framosmu;Salamanca, España;0;18;0;3;0
JorgeAlonsoGomez;Salamanca, Castilla y León, España;0;16;0;5;0
daniporras;Salamanca, Spain;0;15;0;1;0
minuscorp;Salamanca, Spain;2;15;0;2;0
jraragon;Salamanca;0;12;0;3;0
rocqetQueen;Salamanca;1;11;0;2;0
GheRivero;Salamanca, SPAIN);5;7;14;2;0
cjimenezpacho;Salamanca, Spain;0;6;0;1;0
carlosre;Salamanca;0;5;0;1;0
ablancoca;Salamanca, Spain;0;5;3;1;0
albertoromero;Salamanca;0;4;0;2;0
Modesto-Escobar;Salamanca;1;4;0;1;0
miguelangelcasanova;Salamanca (Spain);1;3;0;1;0
leticiasmanso;Salamanca;3;3;0;1;0
Dih5;Salamanca, Spain;1;2;1;1;0
antoniojuansanchez;Salamanca;0;2;0;1;0
frangbravo;Salamanca;0;2;0;1;0
BextForNext;Valencia/Salamanca;0;1;0;1;0
bsusal;Salamanca;4;1;0;1;0
