login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
alvardsoler;Madrid / Segovia;6;219;1;;
tinproject;Segovia;5;176;3;;
migumar2;Segovia, Spain;6;52;12;;
soyapone;Segovia;1;52;0;;
guiyens;Segovia;4;41;3;;
iMartinezMateu;Segovia, Spain;3;33;3;;
PhoneixS;Segovia;0;13;0;;
kikettas;Segovia/Madrid;1;13;0;;
jgarciagarrido;Segovia - London;0;12;7;;
carlosdelucas92;Segovia City;2;6;0;;
ivangarmir;Segovia (España);0;6;0;;
robertobermejo;Segovia;6;4;2;;
t00m;Segovia, España;0;1;2;;
rakkeete;Segovia, Spain;0;1;0;;
