login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
javilonas;Sevilla (España);14;1704;17;14;0
Deathsbreed;Seville, Spain;2;970;4;20;0
josedom24;Utrera, Sevilla;17;853;3;6;0
vtellez;Seville (Spain);7;690;2;19;0
amian84;Seville;21;664;38;7;0
trishagee;Sevilla, Spain;126;615;83;6;0
goinnn;Seville, Spain;38;583;301;6;0
alasarr;Sevilla;4;549;0;11;0
luisromangz;Seville, Spain;2;540;0;6;0
moiarcsan;Sevilla;9;491;2;5;0
Virako;Sevilla;21;469;10;8;0
pitbulk;Seville;22;463;24;6;0
Delawen;Sevilla;38;435;12;5;0
albertobeiz;Sevilla, Spain;10;409;0;10;0
Sloy;Seville, Spain;29;384;36;9;0
srus;Seville, Spain;11;354;9;13;0
Bigomby;Sevilla, Spain;6;345;1;8;0
albertomolina;Sevilla, Spain;36;345;2;13;0
Nesta;Sevilla;42;285;28;5;0
FranBarrera;Sevilla, Spain;14;280;0;9;0
jesusba;Dos Hermanas, Sevilla;19;279;0;7;0
jdnavarro;Sevilla, Spain;12;255;12;6;3
3DRoberto;Seville. Spain;1;253;0;7;0
albrinbor;Seville;2;236;0;5;0
aborrero;Seville - Spain;7;228;17;5;0
EvaristoGZ;Dos Hermanas, Sevilla;13;217;0;18;0
josemazo;Seville, Spain;8;201;33;6;0
juanghurtado;Seville (Spain);24;200;46;26;0
Pakillo;Sevilla, Spain;41;195;66;4;0
cerberillo;Sevilla, Spain;10;195;26;3;0
fmsanjuan;Sevilla, Spain;1;189;0;6;0
javiergalloj;Los Palacios y Vfca (Sevilla);9;189;0;5;0
jlsalvador;Sevilla. España (Spain).;3;181;2;6;0
serrodcal;Seville;1;181;1;4;0
jlbellido;Sevilla;14;176;1;5;0
inyenia;Sevilla;0;166;0;6;0
drzippie;Sevilla, Spain;6;166;8;4;0
danigb;seville, spain;12;162;80;4;0
pedroj;Sevilla, Spain;18;157;12;6;0
javiersantos;Seville, Spain;12;149;3;3;2
carlosfdez91;Utrera, Sevilla;17;149;0;11;0
carlosrodlop;Seville, Spain.;1;146;0;8;0
ezequielo;Seville, Spain;0;137;0;3;0
lammoth;Seville, Spain;9;131;7;5;0
keilovecraft;Seville;8;130;0;4;0
marhs;Seville, Spain;3;125;4;4;0
jresinas;Sevilla;2;124;2;5;0
rcmorano;Seville;27;120;63;5;0
jaimecp89;Sevilla, Spain;1;119;3;5;0
felgari;Seville, Spain;1;116;0;11;0
pablocastilla;Seville, Spain;1;114;14;5;0
fjcarreterox;Seville, Spain;3;113;0;4;0
edipotrebol;Seville, Spain;37;113;3;6;0
dasolma;Seville;2;111;0;6;2
youenna;Seville (Spain);4;109;0;3;0
fran;Sevilla;30;108;12;6;0
alejandronb;Sevilla;15;106;0;4;0
serialsito;Sevilla;19;106;21;5;0
marcosbc;Seville, Spain;0;100;0;6;0
Nerian;Seville, Spain;26;99;884;5;0
FarK;Sevilla;6;99;16;5;0
jemole;Sevilla & Madrid, Spain;2;98;3;4;0
jantequera;Seville;17;98;0;5;0
pablovg2;Sevilla;6;96;4;4;0
davidduranmartos;San José de la Rinconada (Sevilla);2;96;4;5;0
