login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
ryanfox1985;Tarragona, Spain;3;544;0;26;0
erikrk;Tarragona, Spain;0;522;0;11;0
AlfredoRoca;Torredembarra - Tarragona - Spain;11;372;0;11;4
2XL;Tarragona;3;358;1;7;0
katesheleh;Tarragona, Spain;2;321;0;6;0
argaen;Tarragona, Spain;6;320;4;7;0
ivoarch;Tarragona/Spain;32;317;68;11;0
edgarzamora;Tarragona;4;149;0;3;0
llaperez;Tarragona;0;118;0;2;0
crimarde;Tarragona;0;84;1;3;0
ayrad;Spain, Tarragona;0;73;1;4;0
gllortc;Tarragona (Catalonia);0;65;2;4;0
ivanbardon;Tarragona Spain;1;57;0;4;2
ShantiSR;Tarragona, Spain;5;50;11;2;0
jalucenyo;Spain - Tarragona;18;48;27;4;0
rmondejar;Tarragona, Spain;4;42;12;3;0
jpahullo;Tarragona;6;41;3;3;0
dvd70;Tarragona;0;35;0;3;0
alex-pardo;Tarragona;5;35;5;3;0
RaulGracia;Tarragona;4;34;0;2;0
ssorgatem;Tarragona;3;28;16;2;0
maroxa86;Vila-seca(Tarragona);0;23;0;3;0
jrodriguezg;Tarragona, Spain;1;23;0;6;0
jcapelladesto;Tarragona (SPAIN);0;20;0;1;0
manlius;Tarragona (Catalunya, Spain);7;17;41;2;0
vmontala;Tarragona, Spain;3;15;0;2;0
cmmata;Tarragona;1;13;0;2;0
famassucci;Tarragona, Spain;1;12;1;1;0
studi7;Tarragona;0;12;1;2;0
dayalav;Tarragona, Spain;0;12;2;2;0
dlizarra;Tarragona (Spain);0;11;1;2;0
martinproject;Tarragona, Spain;4;11;17;3;0
LuisMuniz;Tarragona, Spain;0;9;0;1;0
Elexy;Tarragona area, Spain;10;9;13;2;0
mhjabreel;Spain, Tarragona;2;9;1;1;0
ablancoj;Tarragona;0;8;0;1;0
aplcat;Tarragona, Catalonia;0;7;0;1;0
DavidDual;Reus, Tarragona Spain;0;7;0;1;0
NaraJeamfry;Valls, tarragona;0;7;0;3;0
pipo02mix;Tarragona;3;7;5;1;0
fontinixxl;Tarragona;1;6;1;1;0
jestebanf;Tarragona, Spain;0;4;0;1;0
sergitoda;URV - Tarragona;3;4;0;1;0
xmontana;Tarragona;2;3;8;1;0
Santos-m;Tarragona,Catalunya,España,UE.;0;3;0;1;0
alextgn63;Tarragona, Spain;0;2;0;1;0
ReoDeveloper;Tarragona;1;2;0;1;0
Gerard-Gutierrez;Tarragona;2;1;0;1;0
Odyssey;Tarragona (Spain);8;1;0;1;0
pepramon;Tarragona;0;1;0;1;0
cestarlich;Tortosa,Tarragona,Spain;0;1;0;1;0
alfroc;Tarragona, Spain;0;1;0;1;0
