login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
mdelapenya;Madrid o Toledo;8;1267;15;12;0
terencezl;Toledo;5;318;2;10;0
jlebrijo;Toledo;3;289;8;11;0
canodelacuadra;Toledo, Spain;3;255;0;17;2
Luisangonzalez;Toledo, Spain;3;100;1;7;0
jchansp;Toledo, Spain;0;68;2;4;0
pabloogc;Toledo, Spain;7;51;0;3;0
dmuy;DAS, Toledo City, Cebu;0;43;0;2;0
rubenmoya;Toledo, España;3;32;0;3;0
djMesias;Toledo, Spain;4;26;0;2;0
Terseus;Toledo, España;0;26;1;4;0
espectalll123;Toledo, Spain;2;21;0;3;0
nandop17;Toledo (Spain);0;17;0;3;0
belsmike;Camarena (Toledo);2;16;0;1;0
javierlopezdeancos;Toledo;14;12;3;2;0
tauheeddel;Toledo;0;12;0;1;0
angelazarquiel;Toledo. Spain.;11;10;0;1;0
luismaront;Toledo (Spain);0;6;3;1;0
chupvl;Toledo, Spain;8;5;4;1;0
ultraheroe;Toledo (Spain);0;3;0;1;0
muihlinn;Olias del Rey, Toledo. Spain;0;1;0;1;0
hiperion;Toledo, Spain;4;1;8;1;0
