login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
pakozm;Alfara del Patriarca (Valencia), Spain;35;1561;132;18;0
jcagarcia;Valencia, Spain;28;978;2;10;7
Xaviju;Madrid, Valencia, Spain;47;767;96;6;0
logongas;Valencia , Spain;23;663;23;10;0
soywiz;Spain, Valencia;91;642;543;14;0
marcelkalveram;Valencia;5;520;21;7;0
fsquillace;Valencia, Spain;23;495;286;14;0
jomargo;Valencia;0;486;0;4;0
d2bit;Valencia;7;475;0;8;0
aacuevas;Valencia, Spain;1;438;0;5;0
pilarargudo;Valencia;10;426;0;5;0
alrocar;Valencia, Spain;12;417;38;3;0
dmontaner;Valencia - Spain;5;414;4;5;0
jsanz;Valencia, Spain;29;399;9;12;0
m1ndgap;Valencia, Spain;1;391;0;26;0
franciscop;Valencia, Spain;17;373;230;7;0
jessfr42;Madrid - Valencia;21;357;7;37;0
gponsu;Valencia / Spain;4;339;0;9;0
jjballano;Dublin, Madrid, Valencia;12;339;5;6;0
GrenderG;Valencia, Spain;7;334;0;7;0
malotor;Valencia;12;330;10;7;0
colomet;Valencia;3;328;0;4;0
jlaso;46010 Valencia (Spain);23;312;50;9;2
ramingar;Valencia, ES;5;301;1;9;2
magomar;Valencia - España;3;292;1;12;0
Cubel89;Valencia - España;3;276;0;4;0
jatap;Valencia;2;268;5;6;0
marsanla;Valencia;11;267;58;10;0
adgellida;Valencia, Spain;2;253;1;9;0
ecarrillo88;Valencia (Spain);0;243;0;5;0
szamarripa;Valencia;4;242;0;4;0
carlosvergara;Burjassot, Valencia, Spain;0;235;0;4;0
daormar;Valencia (Spain);2;232;9;10;0
vicboma1;Spain - Valencia;4;227;4;20;5
flozano;Valencia, Spain;7;222;12;9;0
jguitar;Valencia, Spain;20;222;13;5;0
penicolas;Valencia (España);2;219;9;7;0
socram8888;Valencia, Spain;19;207;20;4;0
DavidHernandez;Valencia, Spain;33;204;15;4;0
Fernan2;Valencia;5;201;4;4;0
mefernandez;Valencia, Spain;10;196;27;6;0
edgarshurtado;Valencia, Spain;16;192;6;7;0
vibaiher;Valencia, Spain;7;183;3;3;0
vicpada;Valencia;0;181;0;5;0
alvarobp;Valencia, Spain;35;181;55;2;0
iranzo;Valencia;24;176;26;5;0
jmjuanes;Valencia, Spain;5;173;1;5;0
vehrka;Valencia (Spain);7;170;6;5;0
nachosalvador;Valencia - Spain;3;167;0;4;0
jesuscc1993;Valencia, Spain;0;164;2;4;0
vortizhe;Oviedo / Valencia (Spain);15;163;13;11;0
asalom;Valencia;1;161;30;5;0
didesweb;Valencia - Spain;0;154;0;3;0
phproberto;Valencia - Spain;100;154;62;4;0
JoseBlanca;Valencia, Spain;22;147;74;4;0
scruti;Valencia, Spain;9;146;0;6;0
tonilopezmr;Valencia;8;144;48;8;0
aoltra;Valencia;5;137;5;6;0
semproms-64;Valencia, España;1;134;0;6;0
DavidBM;Valencia;11;127;5;6;0
jtorresfabra;Valencia;3;127;1;5;0
rlucha;Valencia - Spain;3;123;1;8;0
marcosgabarda;Valencia, Spain;15;119;15;3;0
adanto;Valencia (Spain);0;118;1;3;0
