login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
shoghicp;Zaragoza;165;2191;214;30;16
acelaya;Zaragoza;37;1224;46;9;0
jacalvo;Zaragoza, Spain;5;1025;1;11;0
jkerihuel;Zaragoza;9;822;1;11;0
scambra;Zaragoza, Spain;48;755;116;5;0
sixstone-qq;Zaragoza;5;614;0;10;0
javierag;Zaragoza, Spain;0;610;0;6;0
lmorillas;Zaragoza, Spain;7;457;6;58;58
jburguete;Zaragoza, Spain;1;429;3;19;3
nestorsalceda;Zaragoza / Madrid;44;385;93;7;0
blaxter;Zaragoza, Spain;12;371;53;5;0
figarocorso;Zaragoza;3;369;1;27;3
koke;Zaragoza, Spain;40;338;132;5;0
angelblxt;Zaragoza;0;324;0;14;0
ChusCarro;Zaragoza;0;313;0;6;0
exekias;Zaragoza;12;299;8;5;0
papajulio;Zaragoza;9;289;1;6;0
charliemc;Zaragoza, Aragón, Spain;11;276;5;11;0
eduardofilo;Zaragoza;4;274;0;9;0
albertogcatalan;Zaragoza;17;261;41;5;0
jact;Zaragoza, Spain;4;253;1;5;0
jorgeatgu;Zaragoza;13;244;39;12;6
fjlopez;Zaragoza, Spain;14;244;0;7;0
francho;Zaragoza;36;239;45;5;0
jim3k1;Zaragoza, Spain;0;230;0;11;0
HugoL;Zaragoza;4;228;1;5;0
daniegarcia254;Zaragoza, Spain;2;196;1;6;0
agacias;Zaragoza (Spain);3;189;0;8;0
gimenete;Zaragoza, Spain;153;177;54;7;0
IngenieroFiestero;Zaragoza;2;172;2;11;0
orggue;Zaragoza, España;7;170;1;8;0
MiguelAguilera;Zaragoza, Spain;1;165;2;6;0
ArtCC;Zaragoza, Spain;0;163;0;12;6
danilat;Zaragoza (Spain);70;160;40;5;0
XayOn;Zaragoza;39;155;50;4;0
albertocbarrigon;Zaragoza, Spain;0;152;1;7;0
viktorKhan;Zaragoza y alrededores (Spain);2;127;1;5;0
fernand0;Huesca-Zaragoza, Spain;24;125;5;7;0
madcato;Zaragoza(Spain);2;120;2;6;0
ruduran;Zaragoza, Spain;5;119;0;5;0
Alariel91;Zaragoza;8;117;1;6;0
rricote;Zaragoza;9;114;0;2;0
JRomeoSalazar;Zaragoza;4;104;0;5;0
frasanz;Zaragoza;3;102;7;10;0
MarcosCM;Zaragoza, Spain;4;96;1;4;0
alazuga;Teruel-Zaragoza (Spain);1;93;0;6;0
dbarelop;Zaragoza;1;92;0;6;0
814ckc0d3;Zaragoza, Spain;0;90;1;3;0
chemacortes;Zaragoza, Spain;7;89;0;3;0
fsolans;Zaragoza, Spain;5;85;1;2;0
rikidpr;Zaragoza;0;84;0;5;0
pbarbero;Zaragoza, Spain;2;79;0;4;0
jesusjavierdediego;Zaragoza;6;79;1;5;0
josete89;Zaragoza;3;79;2;13;0
amartinr1977;Zaragoza;1;73;1;5;0
sfaci;Zaragoza;21;69;2;2;0
torhector2;Zaragoza, Spain;3;66;10;5;0
javiertello;Zaragoza;0;63;0;4;0
Pitazzo;Zaragoza, España;1;63;3;4;0
mmngreco;Zaragoza;1;62;1;4;0
JavierAbrego;Zaragoza;3;59;1;2;0
rmcantin;Zaragoza, Spain;2;53;19;5;0
Dragost;Zaragoza;1;50;1;5;0
o7586t;Zaragoza;0;49;0;2;0
jorti;Zaragoza, Spain;6;46;13;4;0
guillermocalvo;Zaragoza, Spain;6;45;80;2;0
joacub;Zaragoza;2;40;1;2;0
flxndn;Zaragoza;0;39;0;4;0
knullknave;Zaragoza;1;38;5;3;0
albertoalcolea;Zaragoza (Spain);5;36;10;3;0
donrondon;Zaragoza;2;34;0;1;0
pmarti;Zaragoza, Spain;12;33;128;1;0
aaromnido;Zaragoza, Spain;1;32;4;3;0
laurafl;Zaragoza;1;32;1;3;0
